Generation,Ave_Fitness,All_Mate
0,2.1265356089716407,1001
1,2.343533183862831,927
2,2.33719940100429,904
3,2.251547471301857,907
4,2.4998321123080016,861
5,2.5407729882708754,830
6,2.4301581148367633,835
7,2.4953910315031624,785
8,2.651504309784789,796
9,2.8740256679580467,736
10,3.0656907594161957,731
11,3.0320798223441403,701
12,2.9215495649327368,764
13,2.724256640633538,778
14,2.733240951489699,771
15,2.416527871814475,756
16,2.514859115411113,759
17,2.860981601300024,773
18,2.7747919940051844,755
19,3.0830649428576526,704
20,3.0945502876853506,714
21,2.794546535449723,703
22,2.9308323896505923,727
23,3.258284267664647,738
24,2.699478033067462,730
25,3.0203080318589057,691
26,2.966520920243661,699
27,2.8735175900398535,687
28,2.909757283862791,637
29,3.451031739590103,622
30,3.14812047996452,634
31,3.0134758158696098,674
32,2.71743250137275,689
33,2.7062162796392415,782
34,2.906961810519054,724
35,2.757493049562821,745
36,2.972060293173231,710
37,2.991166209044101,699
38,2.924395021898588,704
39,3.056150077233249,712
40,2.663582969573217,702
41,2.573829872885862,714
42,2.8041995841348513,703
43,2.8538686097797323,716
44,2.699287730259485,705
45,2.86007916467688,738
46,2.874547158155885,752
47,2.610994229075932,749
48,2.791632541756615,791
49,2.7788675062889765,763
50,2.7736952689854024,789
51,2.3998597505470443,826
52,2.7320739575212754,786
53,2.767137827581791,762
54,2.7774724327122464,769
55,2.546592197156905,775
56,2.5241515431780277,749
57,2.8062452024029154,780
58,2.7610721144349406,760
59,2.7489433244819383,735
60,2.8767148130121623,743
61,2.642218338568917,742
62,2.727833055545135,749
63,2.9022584192991907,702
64,2.882826532363253,725
65,2.872651743749554,731
66,2.9889047276348317,701
67,3.0370057750387116,672
68,3.0349235608333247,668
69,3.1543613376610353,658
70,2.852827718100037,672
71,2.790759319847373,699
72,3.0172426793752454,700
73,3.179358693336565,714
74,3.1109808377564914,674
75,3.1957667774899776,677
76,2.9371886630001063,680
77,2.740538088980185,686
78,2.9996454977797224,723
79,2.95987347695734,714
80,2.6722807751849667,735
81,2.799322183495329,761
82,2.5475244287949583,738
83,2.8711164606622384,725
84,2.635112527500991,747
85,2.947586305067984,726
86,2.8083971670271404,728
87,3.1177180567749634,691
88,3.004551738867956,680
89,3.15777368425504,668
90,2.7391277969876957,662
91,3.3090990141035577,656
92,2.8355462621208614,695
93,2.8133801792106423,683
94,2.894996265992276,737
95,2.9868428547263237,704
96,2.8879867200109404,714
97,2.8785547084659795,712
98,2.8891515978205162,689
99,3.20501149777496,669
100,3.0269477324475527,690
101,2.9811381773908234,685
102,2.9324251569598103,690
103,2.7857313122404808,702
104,3.1311477839008144,699
105,3.0670984549615197,683
106,3.002869218445524,698
107,2.799330207434084,699
108,2.953929293550484,705
109,2.887639872749686,707
110,2.8400924210565406,700
111,2.8644718663853,740
112,2.799069131741323,763
113,2.756667187899905,751
114,2.7420624364286748,753
115,2.5331973571909647,729
116,2.812677895452834,740
117,2.8061150457839124,738
118,2.9590058117336415,719
119,2.8740071084706926,692
120,2.900282754175436,637
121,3.382006040361844,694
122,2.8525811059894512,695
123,3.1141438689190393,653
124,3.145396476991969,653
125,3.0556101912065388,648
126,3.195029246377343,609
127,2.9411887209197203,636
128,3.0568787564535076,647
129,2.9501432647965333,701
130,3.2440934970061552,694
131,2.918195543180102,699
132,2.753439385131249,732
133,2.895881676109745,679
134,2.8211926370282168,663
135,2.93292971534788,686
136,3.251241948728158,709
137,3.090235265709377,687
138,2.9142094366293123,677
139,3.0172762964757167,693
140,2.9604625914723117,682
141,2.822144254555818,691
142,3.0841904312417006,685
143,2.884769840394407,683
144,2.979599682751461,715
145,2.8190777245451866,765
146,2.6826503074175396,766
147,2.8015526323651896,766
148,3.0029470080369,743
149,2.939782202832156,697
150,2.978866822496533,727
151,2.9173315437765246,743
152,2.665403543236002,776
153,2.6349966379015153,758
154,2.6760629744157605,784
155,2.7635320977737474,765
156,2.69159375946655,756
157,2.743160467131984,750
158,2.7033308786388046,742
159,3.0951433819110292,695
160,2.718702189740564,743
161,2.6827656764985175,742
162,2.9611114669989034,742
163,2.7572368310322912,783
164,2.6924839758981016,804
165,2.8599553804171296,813
166,2.739887963042063,768
167,2.752052165933074,765
168,2.9389687460214513,718
169,2.5561613749913694,742
170,2.8944133659873224,705
171,3.073347620649701,711
172,2.80370561145632,734
173,2.9189226184585437,692
174,2.799160909948534,706
175,2.968069422027271,722
176,3.02082861872495,694
177,2.742745649769196,708
178,2.7963261741537195,734
179,2.8298232717610428,718
180,2.880286663675047,726
181,2.8722188789079395,707
182,2.8686356392131582,715
183,2.753719890567191,700
184,3.028432479654149,709
185,3.1472200502382055,693
186,3.130759495552456,696
187,2.844147995205928,682
188,2.985876041837804,717
189,3.0080582793617667,694
190,3.0070568820032,656
191,3.045790421318679,633
192,3.0176177707611544,702
193,3.13054994861994,692
194,2.940676346023833,682
195,3.117228416883865,699
196,2.926042125778803,705
197,2.818565247865225,741
198,2.93177165974442,705
199,2.9160309945828233,684
