Generation,Ave_Fitness,All_Mate
0,2.211970375910812,1010
1,2.2401117407129956,950
2,2.4159856773784867,870
3,2.505676308084494,823
4,2.728017379113882,784
5,2.790582415139489,755
6,2.8891815923802464,728
7,2.8070511620441376,751
8,2.817823295713501,749
9,2.6973532016587014,753
10,2.7750745426460504,718
11,2.93541852673417,697
12,3.0246222546931576,693
13,2.7175202208397997,723
14,2.9830053600224984,709
15,3.0285815033792693,709
16,2.804056811713669,678
17,2.9455346424924658,685
18,2.9277521561500093,731
19,2.8256310282733743,722
20,2.8748228301173446,718
21,2.737038044607473,722
22,2.7801761578599984,708
23,2.968013144130048,684
24,2.987301943251146,670
25,2.8810942198328915,640
26,3.1947242642143574,674
27,2.8088189212827372,670
28,2.88853851347706,757
29,3.003772152507197,722
30,2.9597645717459664,716
31,2.895873308510127,732
32,2.9064406071940128,765
33,2.8644484042733125,758
34,2.794347460697839,744
35,2.696567935614884,772
36,2.679206561328241,762
37,3.136460985535569,691
38,3.1064777297243586,674
39,2.8431907692089022,681
40,2.8242793292105226,723
41,3.004212028598175,747
42,2.6082068950397983,741
43,2.7954879337966783,719
44,3.000233457907076,742
45,2.8970487274663106,732
46,2.8173303340324334,757
47,2.7421108208092346,773
48,2.8621312226159126,800
49,2.7867887345703037,802
50,2.7928476230110415,787
51,2.700489775826771,728
52,3.027638864710312,730
53,2.834132121326659,710
54,3.1195144653839084,696
55,3.1249427937874596,673
56,2.968304708255051,695
57,2.954449097081108,695
58,2.9789935192170196,707
59,2.7353684002671463,724
60,2.6710770719378134,767
61,2.626400981967145,800
62,2.546847800063063,789
63,2.8442091957551185,767
64,2.71078088963877,787
65,2.816248198113841,774
66,3.0704651232452225,731
67,2.690668660133753,724
68,3.0250605363503023,701
69,3.000547811784766,694
70,2.808256945926065,693
71,2.8839124773575655,728
72,3.002347379924582,720
73,2.9780135174942437,699
74,2.8963135539456335,688
75,3.1568797917632314,685
76,2.855285270125405,683
77,2.9307470940562648,684
78,3.239219731385755,643
79,3.1025272407658484,694
80,2.8260475368141162,725
81,2.733548037445003,752
82,2.589989424405356,724
83,2.6685776109579975,759
84,2.872341192682995,774
85,3.05671779215186,773
86,2.606587984341806,779
87,2.4991465593842515,861
88,2.501615010318739,822
89,2.3493295572291597,842
90,2.38363476012244,859
91,2.663250535180723,826
92,2.7562972636863106,759
93,2.8195354025872605,792
94,2.690940115104159,838
95,2.8193833563810955,777
96,2.791209583469117,770
97,2.538511018886029,773
98,2.7189305179888157,788
99,2.6377909622629647,791
100,2.792514727753167,796
101,2.7407748004289947,780
102,2.863347682708957,730
103,2.768922026837422,749
104,2.6897004318325357,729
105,3.142285549781818,695
106,2.974234274915404,709
107,3.038615740890748,686
108,2.9300631159237067,677
109,2.9400249482787193,730
110,3.055893259501285,718
111,2.994924288136366,757
112,2.8225112225421323,731
113,2.8780950362179003,756
114,3.0138658900644684,698
115,3.239381162059738,673
116,2.825540292983147,677
117,2.8663473323788757,657
118,3.0537128990772824,677
119,3.078419875285279,708
120,2.725879206831527,728
121,2.9057600004018793,726
122,2.6129266793100423,769
123,2.490369361522354,800
124,2.631335164669737,794
125,2.6085466260760133,821
126,2.6149068621281093,829
127,2.30433401116315,821
128,2.5863125399228606,791
129,2.8770347420513915,762
130,2.79212823357036,763
131,2.730615496734182,774
132,2.5483765578345814,793
133,2.6644581305378705,797
134,2.549206453763943,829
135,2.757729832848924,775
136,2.6925806160240553,740
137,2.7319526840841304,737
138,2.9521902044223873,729
139,3.109951414553687,716
140,2.786202540040155,713
141,2.7995960376898874,736
142,2.747984487298455,730
143,2.888823481434894,735
144,2.8545202718450158,764
145,2.9673094312475286,760
146,2.933348736069123,726
147,2.6172725929835226,763
148,2.935258054044438,749
149,2.467729093505724,758
150,2.6368100626541118,774
151,2.49585136636419,765
152,2.6769504954249634,767
153,2.6831682568787234,749
154,2.780360458153037,786
155,2.631481767291857,815
156,2.5984543645893425,813
157,2.460175735496053,861
158,2.9262245598931855,796
159,2.6861458586352067,800
160,2.863988495830587,766
161,2.8704941672464668,732
162,2.81016542535541,781
163,2.5836677451045684,794
164,3.0351262707186346,757
165,2.735290801079222,770
166,2.9398141522142502,725
167,2.887782218134743,724
168,3.0304956522278292,726
169,3.0132289035732858,700
170,2.8657664275106414,719
171,2.691975987477525,737
172,2.811284889244183,746
173,2.9904270850831427,727
174,2.7590424074613487,712
175,2.902726918396934,705
176,2.9513603339307406,670
177,2.940151382810058,717
178,2.884022930771554,720
179,2.915047538071372,721
180,2.706127924030122,741
181,2.644667816414116,741
182,3.00230411331381,721
183,2.669903912581682,746
184,2.691019525175244,750
185,2.881235227523469,724
186,3.0176752817733576,697
187,3.034435315464823,692
188,3.057310075082094,690
189,2.796923122892981,676
190,3.1057141278144487,674
191,3.243963801630898,644
192,2.808218127650594,654
193,2.9940993150978787,684
194,2.7699422534921,713
195,2.8258192806682736,747
196,2.8642551289461617,749
197,2.722478944566386,714
198,2.913590091083941,724
199,2.7815227135247267,751
