Generation,Ave_Fitness,All_Mate
0,-13.345533167199877,964
1,-9.276969435711344,855
2,-8.571852442485117,809
3,-8.132997203943683,793
4,-7.357082237549524,736
5,-5.8944218748450545,658
6,-5.710638714769013,589
7,-3.544326305796356,552
8,-3.361604671057334,508
9,-3.259122028486613,505
10,-2.913936013535131,486
11,-2.732057620080856,474
12,-3.205682703175506,481
13,-2.8480039920242404,472
14,-2.390259246928305,462
15,-2.6511159722896824,458
16,-3.5583667779474024,472
17,-3.784388661777106,510
18,-2.6318199926240293,504
19,-2.0548808412482518,474
20,-2.1706174840265966,468
21,-2.331006030873303,474
22,-2.5855000076448555,466
23,-1.7287225902324321,431
24,-2.492756969559861,463
25,-1.8587174518490905,433
26,-1.586692600574748,470
27,-1.2390218732894376,442
28,-1.1649720951799154,429
29,-0.9723006554145462,413
30,-1.3509888713573117,420
31,-1.4467866917507757,401
32,-0.4691490919292184,359
33,-0.7585144914177456,355
34,0.21583463510721626,364
35,-1.024656707341018,393
36,-1.5754047811110754,393
37,-0.8854010536877027,407
38,-0.8379292917315557,381
39,-0.9496640773452236,374
40,-1.5952046522490877,377
41,-1.1446556280735738,386
42,-0.8053627635239191,430
43,-1.1666256683691578,439
44,-2.9014434744051347,450
45,-2.897815996932215,441
46,-2.6126874576959227,462
47,-2.8442739294597237,478
48,-1.1826507592155675,447
49,-1.1396783750524846,450
50,-1.8152334092167695,457
51,-2.976435838121044,479
52,-1.4336090801846766,459
53,-1.9913272522983425,468
54,-2.2323532133369817,470
55,-2.230814851197066,467
56,-2.136258016572044,455
57,-1.7789702081993142,432
58,-2.8531067048389662,429
59,-2.213509322308175,429
60,-1.6359973601644855,422
61,-1.6219111615163408,421
62,-2.617404759788019,453
63,-1.0575338782845947,435
64,-0.951102992764917,404
65,-2.6894633494428906,452
66,-1.7026974826349297,439
67,-1.5765254038003524,410
68,-1.7229273715999307,423
69,-0.9619704317635643,361
70,-1.093912943931337,357
71,-1.311038018830684,379
72,-1.2812550900672608,389
73,-0.8522017649560186,392
74,-1.0774268542822008,389
75,-1.1257249815012458,396
76,-1.7577724207672345,416
77,-1.8660304737612603,401
78,-0.7325657844533581,395
79,-1.1066082268908024,427
80,-2.134438568749219,427
81,-2.1533803673757466,417
82,-0.6126144514138688,422
83,-1.199565485828856,444
84,-2.8807791588301286,461
85,-2.1527775884721545,442
86,-1.069772166921951,461
87,-3.286178583199007,500
88,-3.719121928092049,494
89,-4.484628572500386,481
90,-1.6129186488489937,459
91,-1.7713188519486713,446
92,-1.2354748252489032,422
93,-2.9282014496934203,450
94,-1.1789158438831775,431
95,-2.5881727867117923,444
96,-1.4228967513794657,437
97,-1.5385565533877772,440
98,-3.0216171557780096,479
99,-2.0473214481682014,463
100,-2.0268017536952754,453
101,-2.51406919604136,463
102,-1.6635053273418936,453
103,-1.7546516480859646,482
104,-3.4026048195349325,479
105,-1.5475795508604702,431
106,-1.8194913643309778,412
107,-0.5447356838506311,363
108,-1.5153329048574071,387
109,-1.3467885937322868,375
110,-0.7896878872543677,348
111,-0.4247398844382516,341
112,-1.1689195937470622,349
113,-0.10226463256027685,371
114,-1.0769782099412324,401
115,-1.8964323513199026,418
116,-1.3629904450987198,412
117,-2.212049590148993,445
118,-2.6841924669410524,438
119,-2.9984638668185357,440
120,-1.8173765987094228,442
121,-1.6894581450113384,416
122,-1.7147940451720016,433
123,-1.690790183118735,398
124,-2.168063489319954,412
125,-1.497051429104903,406
126,-1.389241667861751,395
127,-1.216073645727179,353
128,0.28597775348242954,374
129,-1.6750692193558248,409
130,-2.6882259824345893,421
131,-1.4296592688715566,426
132,-2.281906074133755,431
133,-0.9696315515827226,414
134,-2.0715946958626446,463
135,-1.8585442839222706,421
136,-0.6352003849416841,404
137,-2.016769474223105,438
138,-2.734639245234855,449
139,-1.5107070600902888,478
140,-2.5904155929681685,489
141,-2.7676592116636853,484
142,-2.9927597698386434,491
143,-3.364359366431448,511
144,-2.2743484251205337,507
145,-3.941045046146846,533
146,-2.3411206922079,529
147,-3.2751502905757195,510
148,-2.8161938335760355,522
149,-3.195079542890702,492
150,-2.5477870581131556,492
151,-2.397247920626585,504
152,-3.1576808910811245,492
153,-1.3942359015474457,457
154,-2.882235924639333,462
155,-2.508155050808635,472
156,-3.4618422896234695,493
157,-2.0536444424927844,460
158,-1.8717292695242227,515
159,-2.4211036301538265,535
160,-3.6963339670042403,518
161,-2.6026858019893964,503
162,-4.4248696446388465,557
163,-3.6326278573333672,547
164,-4.2165985036456854,539
165,-3.8008343703821343,512
166,-2.796016608550438,504
167,-2.933904829288945,510
168,-4.107046771782159,528
169,-4.110429659621645,548
170,-4.921595304495798,580
171,-3.795016519805921,548
172,-4.244671829273974,552
173,-2.773612729929245,537
174,-3.9359433552896506,532
175,-3.00008602173139,487
176,-0.9070324863291327,417
177,-1.3272176159307305,421
178,-1.8040001962285088,423
179,-1.6112240397429876,448
180,-1.8770789078709729,482
181,-1.4952261452948234,472
182,-3.0699275859711532,499
183,-3.5750700395605737,519
184,-3.0269898688706474,448
185,-0.9577389927100536,429
186,-1.0093108161124338,424
187,-2.4565038558431214,429
188,-0.9723328278331693,391
189,-0.708097995477371,377
190,-0.23291917713969268,348
191,-0.4514982958794094,323
192,-0.09076151413542206,333
193,-0.4497061852074246,342
194,0.053403956219673414,400
195,-2.2130832968006358,440
196,-1.418607626326648,432
197,-2.078709632236301,435
198,-1.9092167358392813,423
199,-1.1571398943249027,421
