Generation,Ave_Fitness,All_Mate
0,-11.469413400391636,963
1,-10.242710908926108,865
2,-9.432560124607024,791
3,-7.4395205504012445,696
4,-4.748045176752028,598
5,-3.2702690839459576,541
6,-2.2968708918333265,451
7,-2.2193112398840715,415
8,-0.9908818812111585,388
9,-0.5553503478627688,350
10,0.3477691967500894,322
11,0.05900806957640332,312
12,0.570032135321782,313
13,1.082743046477618,311
14,1.3770074043017864,302
15,1.5347304556378834,301
16,0.5872134379331851,303
17,0.38803131840228955,312
18,0.27137997914283596,320
19,-0.9006569458484313,317
20,0.42133204395706203,321
21,-0.2259458092645236,319
22,-0.721926159667502,322
23,-0.6119817607942751,301
24,0.28196608806172496,304
25,0.18309062060473266,307
26,-0.2867214994493976,310
27,0.8279965253176903,308
28,1.5403300658914227,295
29,0.6536745244688599,300
30,0.22577433916030473,303
31,0.11844044158911142,290
32,1.7312944620183552,288
33,0.11595872845138257,289
34,1.135920526356108,280
35,0.937111034718663,286
36,1.2029132259956403,277
37,0.006070237790665907,281
38,1.2191620273402377,271
39,0.660405343168133,273
40,0.9455162776660628,284
41,-0.4673700755815339,284
42,0.4698169957204073,284
43,0.8081997935475604,277
44,0.26201934493780177,266
45,0.8468470396791326,257
46,1.5315136499708242,264
47,1.1835202077422184,263
48,0.38614074149333744,268
49,0.8115140324925681,270
50,1.0985498082792158,260
51,1.718493943627413,254
52,1.1713469992763408,278
53,1.0230139744586475,265
54,0.6608661228787723,268
55,1.1939956831487508,260
56,0.46067543018632046,245
57,0.26123190270077695,255
58,0.9583621905501226,268
59,2.1801018190372714,250
60,1.7571357665385758,263
61,0.9023598964276519,255
62,1.186745112128446,264
63,1.1884449486006452,258
64,0.6422998109721938,257
65,0.6072113950896718,243
66,1.388154806135393,244
67,0.8014638629151524,241
68,1.6939523439305626,240
69,1.1810453588001015,240
70,0.990740604061733,229
71,0.9123157983216728,218
72,1.3999461810498708,231
73,0.4561800555845447,257
74,1.1476834172948778,240
75,1.534310203705782,226
76,1.2204813944022168,245
77,0.6564598990385963,228
78,1.9813180078087445,227
79,1.2595561511772673,228
80,0.9925961478730543,235
81,0.9732220111254555,224
82,1.2859822683176951,217
83,1.0043681352186542,224
84,0.9138664436361675,230
85,0.38619500155741776,229
86,1.0931729353633783,217
87,0.19567112414771884,219
88,1.8125683046963297,219
89,2.130170652802535,221
90,1.598880559185402,228
91,0.9537636994609727,232
92,1.4527088128072239,224
93,1.453818211369471,221
94,2.09056160525891,224
95,1.7033513700608807,228
96,0.867735395080646,235
97,0.6146190987724779,238
98,1.0886665886773417,235
99,1.055419728915385,232
100,1.08972160016691,234
101,1.2342382429225383,223
102,0.8576630065288198,227
103,1.783672476019592,219
104,1.0336836585539222,222
105,1.6306856253463904,217
106,1.6389730010732637,217
107,2.007400340342442,217
108,1.0864716877539713,218
109,1.5396925712795593,206
110,2.1245852569248065,203
111,1.5582080885032736,209
112,1.8785160481983205,208
113,2.5040160491267645,206
114,1.7641657660986967,203
115,1.1956148980691232,208
116,1.8039848172919053,208
117,1.6576424936465712,211
118,1.4184918505064728,214
119,1.4496746820022168,210
120,1.4941681590315594,204
121,2.333968349256982,204
122,1.8174254821383753,205
123,1.3307711224034415,205
124,1.490479551341678,206
125,0.9853935749171037,209
126,2.265020421978953,210
127,2.1436146407317223,205
128,1.5422505843383392,210
129,1.0930801116196693,211
130,1.5176731428388033,213
131,1.546973523887979,209
132,2.246196081134671,207
133,1.9765505097259612,209
134,1.7639780709635895,207
135,1.1904757461794733,212
136,1.8307554652189046,212
137,1.4287080377563555,218
138,2.3930859604350267,227
139,1.1397270841920328,229
140,1.1734099930029047,223
141,2.0114006621336658,218
142,1.6400962161383033,226
143,2.4240788736153975,221
144,1.003027730711831,217
145,1.6468663517322164,226
146,2.0302672344319648,221
147,1.195150340082554,225
148,0.9163560519844138,232
149,1.3565741558650435,230
150,1.2285694335832205,234
151,1.8502979267482729,226
152,1.0355040133543192,237
153,0.3793498433127075,230
154,2.0299660363111984,214
155,1.8315237839286709,213
156,1.2933565218524843,211
157,2.0278477713548195,228
158,1.0849225930741564,229
159,1.9076631812805107,220
160,0.7194249543804908,221
161,1.413099914304354,223
162,1.5432726787999411,226
163,0.928569972315627,235
164,1.0212177126057262,242
165,1.4165502959140548,247
166,0.0026715998471173743,245
167,1.6450422653821335,244
168,0.9103171868920821,247
169,0.7072578681018661,254
170,1.03299843370121,248
171,1.281790531509945,246
172,1.216983153248769,239
173,1.0267850967856205,243
174,1.4277426060517842,247
175,1.477847744463643,239
176,2.3858727999899005,233
177,0.8774461296025048,248
178,1.3101047190411168,249
179,2.0187215686563365,233
180,2.1266226936375836,229
181,0.6793836118311732,239
182,1.4455333843949356,230
183,1.9203236309238791,224
184,1.651187527134744,234
185,1.8787177861651672,234
186,1.066959090678801,230
187,1.584800159507447,228
188,1.3554731895937642,220
189,0.8213541550362828,220
190,2.3302864434926325,205
191,1.8946527588007605,205
192,1.5526267298214729,204
193,1.0531861993075415,203
194,1.29596275395933,210
195,2.0774861026652847,207
196,1.6459028420825186,206
197,2.361767081440906,213
198,1.649668180712253,209
199,2.338493162501419,204
200,1.723654779167527,209
201,1.8446749549133599,214
202,2.0162258440168643,215
203,0.46778825617823366,213
204,1.505714253051917,214
205,1.7860985876566138,213
206,1.332931840445171,222
207,1.634810760803524,219
208,2.0660463466707735,228
209,1.993822348631053,221
210,1.740815545685449,221
211,2.5296729156658952,238
212,0.7418002873808222,234
