Mating_Steps,Fitness_Mating,Num_Look_Before_1_Mating
3,14.300710842598434,1
3,14.186977813848362,6
3,13.079895430820894,1
3,10.892777049631707,1
5,10.686740507138545,2
2,10.56842912483212,1
3,8.585738762327082,1
3,8.113503822530605,6
3,7.91351967933093,1
4,7.842117574139799,6
4,7.490674049238219,6
3,7.132477503822617,1
2,6.800386552102584,1
3,6.489700472960578,1
4,5.746867092947017,2
3,5.4476338925941015,1
4,5.309227577942012,1
4,5.018079666913259,1
4,5.009021345451142,1
4,4.955869273682477,1
3,4.883374483794837,1
3,4.641669819956546,1
3,4.441608714519724,1
2,4.240281592900091,11
4,4.202513818217307,6
3,4.112128448137762,6
4,3.9796831376974744,1
3,3.9250283024781982,1
3,3.72266372934173,1
3,3.670404004925082,1
3,3.4692985424631715,1
4,3.2990266522550797,1
2,3.2735571722471297,11
3,3.2490947386690614,6
3,3.1499300366391356,1
3,3.115875672542211,1
3,2.847709831326677,1
4,2.734170803050807,6
3,2.7111758431484922,6
4,2.515789654722509,6
2,2.3801422832161405,11
3,2.2331252449660663,6
4,2.0814891444176684,6
4,1.7570554650270518,6
4,1.6577208890122792,6
3,1.5622365999536267,1
3,1.5553936848424543,1
4,1.4953141042252973,2
4,1.346175611600895,1
4,1.27648841535966,1
3,1.017761083818991,1
4,0.8029130757562992,1
4,0.3435688501615042,6
3,0.3407957624486784,1
3,0.32320547510553244,1
4,0.23243707656674228,1
3,0.0,1
4,0.0,1
2,0.0,1
3,0.0,6
4,0.0,1
3,0.0,1
3,0.0,1
3,0.0,1
4,0.0,6
4,0.0,1
3,0.0,6
3,0.0,6
4,-0.019441343005987655,0
5,-0.03429103766882058,1
3,-0.03981206460436493,6
4,-0.14994855844431143,1
4,-0.17784916039614096,1
3,-0.4644928703755493,1
3,-0.9283693614568147,1
4,-1.2969947401578565,1
4,-1.42440746472235,1
4,-1.6519587052141445,6
4,-1.674231322639205,0
4,-1.9797188373846648,1
4,-2.1463293210998207,1
3,-2.3383010842284926,1
4,-2.4047206618777253,1
4,-2.4763254443468945,1
3,-2.744069091643233,6
3,-2.7674435734475042,1
4,-3.1154323457127022,1
3,-3.349897071424226,1
3,-3.403906731175967,1
3,-3.594655705595356,6
4,-3.753162940345324,6
4,-5.266998212229011,1
3,-5.6663116225038,1
2,-5.7233199796070675,1
3,-6.2608250602018645,1
3,-6.592694999277263,1
4,-6.770868188909312,2
4,-7.829863558808891,6
5,-8.33945814869894,6
3,-9.823533414761876,1
