Mating_Steps,Fitness_Mating,Num_Look_Before_1_Mating
3,16.08840550024744,2
4,14.417343499410293,2
3,13.460309743449423,2
4,13.013002165447206,2
4,12.21054600666324,2
3,12.146241384971164,2
3,11.89581899139438,2
4,11.798991350105782,2
3,10.914618815625257,2
3,10.857374115992375,2
4,10.647073154053366,2
4,10.606693386740314,2
3,10.310813825544752,2
5,10.167289099772823,2
4,10.042935333945088,2
3,9.394841892873814,2
3,9.281374973373211,2
3,9.16191895741174,2
3,9.089723651211353,2
4,8.870318594396833,2
3,8.658280597040559,2
5,8.484415295527878,2
3,8.476172843479247,2
3,8.213339890486427,2
4,8.1931866546088,2
3,7.99835217309764,2
3,7.943154359627384,2
3,7.863401873685849,2
4,7.653600198878692,2
3,7.505473877595147,2
3,7.475137327656805,2
3,7.359656848669021,2
3,7.234136467226357,2
3,7.2234582937064395,2
4,6.972803278059815,2
3,6.935797517017745,2
4,6.85386891040754,2
3,6.698094453379182,2
4,6.677396691815655,2
4,6.648932260346296,2
3,6.555544072486106,2
4,6.535478189237616,2
3,6.360254899210847,2
3,6.282566044865542,2
4,6.207832057857534,2
4,6.137857090815135,2
3,6.123911203107492,2
4,6.057710878257026,2
4,5.985928514682854,2
5,5.828090423840309,2
4,5.652264505421751,2
3,5.555527399801287,2
3,5.43613179075834,2
4,5.165897796662095,2
3,5.083971483499493,2
3,5.030751133741495,2
5,5.016980812674712,2
5,4.9833047766302485,2
4,4.958344174494434,2
4,4.761426248606064,2
3,4.6729283251966205,2
3,4.666547288379624,2
3,4.529262589394128,2
3,4.211488770112375,2
3,4.208334184294922,2
5,4.010035399333323,2
3,3.9971413485302936,2
4,3.973729504188732,2
4,3.937148319513425,2
3,3.7724497708812903,2
3,3.7467702757165524,2
3,3.690461892789422,2
4,3.6881248687874937,2
3,3.673838353392158,2
3,3.6622132581874336,2
3,3.550766649707845,2
3,3.3890716639139136,2
4,3.250902413150804,2
3,3.201657463103702,2
4,3.05012876280039,2
4,2.7688160146615397,2
5,2.3816360649242982,2
4,2.039364079847255,2
4,1.4382653840231456,2
3,1.4371198729298271,2
3,0.0,2
4,0.0,2
3,0.0,2
3,0.0,2
3,0.0,2
4,0.0,2
3,0.0,2
3,0.0,2
3,0.0,2
3,0.0,2
3,0.0,2
3,0.0,2
4,0.0,2
3,0.0,2
4,-3.5032413175043695,2
