Generation,best_mate_1,best_mate_2,best_mate_3,best_mate_4,best_mate_5,best_mate_6,best_mate_7,best_mate_8,best_mate_9,best_mate_10,worst_mate_1,worst_mate_2,worst_mate_3,worst_mate_4,worst_mate_5,worst_mate_6,worst_mate_7,worst_mate_8,worst_mate_9,worst_mate_10
0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1
1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1
2,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0
3,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0
4,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0
5,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
6,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
7,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1
8,1,1,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1
9,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0
10,1,1,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1
11,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0
12,1,1,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1
13,1,1,0,1,1,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1
14,1,0,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1
15,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0
16,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0
17,1,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,1
18,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1
19,1,1,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0
20,1,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,1
21,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1
22,1,1,1,1,0,1,0,1,1,0,0,1,1,1,0,1,1,1,0,0
23,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0
24,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
25,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0
26,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0
27,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0
28,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0
29,1,0,1,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,1,0
30,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0
31,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1
32,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0
33,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1
34,0,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0
35,0,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1
36,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
37,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
38,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1
39,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
40,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
41,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0
42,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0
43,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
