Generation,best_mate_1,best_mate_2,best_mate_3,best_mate_4,best_mate_5,best_mate_6,best_mate_7,best_mate_8,best_mate_9,best_mate_10,worst_mate_1,worst_mate_2,worst_mate_3,worst_mate_4,worst_mate_5,worst_mate_6,worst_mate_7,worst_mate_8,worst_mate_9,worst_mate_10
0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0
1,0,0,1,1,1,0,1,1,1,0,1,1,0,1,0,0,1,0,1,0
2,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0,1,0,1
3,0,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1
4,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1
5,0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1
6,0,0,1,1,1,0,1,1,1,0,0,1,1,0,1,0,1,1,0,1
7,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1
8,0,1,1,1,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1
9,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1
10,0,1,1,1,0,0,1,1,0,1,0,1,1,1,1,0,0,1,1,1
11,0,1,1,1,0,0,1,1,0,1,0,0,1,1,1,0,0,1,1,0
12,0,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,0
13,0,1,1,1,0,0,1,1,0,1,0,1,1,1,0,0,1,1,0,1
14,0,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,1,0,1
15,0,1,1,1,0,0,1,1,0,1,0,1,1,1,0,0,1,1,0,1
16,0,0,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,0,1
17,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,1,1,1
18,0,0,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,0
19,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,1,1,0
20,0,1,0,1,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1
21,0,0,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1
22,0,1,0,1,1,0,0,1,1,1,0,1,0,1,1,0,0,1,1,1
23,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,1,1,0
24,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,0,1,1,0
25,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1
26,0,1,1,1,0,0,0,1,1,0,0,1,1,1,1,0,0,1,1,1
27,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1
28,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,0,1,1,0
29,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,0,1,1,0
30,0,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1,0
31,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1,0
32,0,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1,1,0
33,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,0
34,0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,1,0,1,1,0
35,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,0,1,1,0
36,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,1,0
37,0,1,1,1,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0
38,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,0,1,0
39,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,1,0
40,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,0
41,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,1,0
42,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0
43,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,0,0,1,0
44,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0
45,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,0,0,1,0
46,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,0,1,1,0
47,0,0,1,0,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0
48,0,0,1,0,1,1,0,1,1,0,1,1,1,0,1,1,0,0,1,0
49,0,0,1,0,1,1,0,1,1,0,0,0,1,0,1,1,0,1,1,0
50,0,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,0,1,1,0
51,0,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,0
52,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0
53,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0
54,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,0
55,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1
56,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,1,0
57,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0
58,0,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0
59,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0
60,1,0,1,1,1,1,0,0,1,0,0,1,1,1,1,1,0,1,1,0
61,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,0,1,0
62,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,1,0,0,1,0
63,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,1,0,1,1,0
64,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,1,0,0,1,0
65,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,1,0,1,1,0
66,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,0,0,0
67,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,1,0,1,1,0
68,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,1,0,0,1,0
69,1,0,1,1,0,1,0,0,1,0,1,0,1,1,1,1,0,1,1,0
70,1,0,1,0,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0
71,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0
72,1,0,1,1,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0
73,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,1,0,0,1,0
74,1,1,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0
75,1,0,0,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0,1,0
76,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0
77,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0
78,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0
79,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0
80,1,0,1,1,1,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0
81,1,1,1,1,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0
82,1,1,1,1,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0
83,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,0,1,0
84,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0
85,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0
86,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0
87,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0
88,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0
89,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0
90,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0
91,1,1,1,1,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0
92,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,1,0,0,1,0
93,1,1,1,1,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0
94,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,0,1,0
95,1,1,1,1,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0
96,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,0,1,0
97,0,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,0,1,0
98,1,1,1,1,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0
99,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0
