Generation,Ave_Fitness,All_Mate
0,5.79511555205446,90
1,5.211433334503625,89
2,6.163601056196321,102
3,5.252661431249968,96
4,5.476336311304178,97
5,5.527212616242069,117
6,4.694577980909695,105
7,5.594625897074893,97
8,5.401878042509473,88
9,4.810022896864547,95
10,5.698375181419568,103
11,5.046334877222638,90
12,5.393917595292441,93
13,5.385398215720981,89
14,5.649736447305522,91
15,5.056592781040538,98
16,5.205929066303229,98
17,5.222300122749882,98
18,5.597698262471775,108
19,5.43956307635185,113
20,5.3941428932647515,115
21,5.344391981006745,108
22,5.9568703672500565,118
23,5.104045546917385,110
24,5.470382170913117,115
25,5.268833780849524,110
26,5.427860070040028,110
27,5.283787015880831,93
28,5.447488329065591,73
29,5.359543090702159,90
30,5.228823917493031,88
31,5.118442866409358,92
32,5.528640034471577,93
33,5.517552404523608,82
34,4.71255929066457,64
35,4.900524976377962,76
36,5.01254845889053,79
37,4.816684949604353,66
38,5.347344126273923,72
39,5.000073473328223,56
40,4.830502368100644,70
41,4.961770928658514,76
42,5.116136831206956,96
43,4.999222144760764,86
44,5.4900857346019745,76
45,5.110696629868244,78
46,5.6918082418810165,84
47,5.23695075336682,82
48,5.913414708397317,84
49,5.210977157220093,91
50,4.958975469585404,84
51,5.3304428275005495,92
52,5.157488616346223,104
53,5.507125443959827,107
54,5.246778180859177,104
55,5.17186947139769,89
56,5.335369167001053,94
57,5.203941385537649,100
58,5.438236041881561,99
59,5.206465471189938,113
60,5.337580265662897,98
61,5.150299648519481,115
62,5.387116442270128,121
63,5.012515519958912,120
64,5.448409125717239,127
65,5.16707622549726,93
66,4.800801784213112,103
67,5.779116294785031,112
68,5.355312811158101,106
69,5.487712001679165,95
70,4.764400864786883,86
71,5.215219770589708,83
72,4.379918044037831,77
73,5.682601096247152,84
74,5.433235536606993,82
75,4.990934098024745,94
76,4.886515354049197,88
77,5.177053261880873,97
78,5.678674854768466,112
79,5.261724262470017,111
80,5.415775015385716,115
81,5.758592762054745,109
82,5.609600375507746,104
83,5.477416208612713,99
84,5.317300830185526,92
85,5.302511032055687,77
86,5.034237970202588,71
87,5.7152905161403265,81
88,4.967391733873965,73
89,4.349405524518248,79
90,5.787635210206171,90
91,5.24998384753161,77
92,5.917442097425043,92
93,5.088474558865079,87
94,5.607994145350574,91
95,5.280381646272922,102
96,4.834708529064451,102
97,4.832922501684864,96
98,4.984317725934287,103
99,5.036272054265934,116
