Generation,Ave_Fitness,All_Mate
0,4.964993906814131,101
1,5.069912026331963,115
2,5.090417285349925,105
3,5.044878285824426,103
4,5.054913824935183,112
5,5.000656660740235,109
6,5.003169556545672,125
7,5.047078346835319,121
8,5.0575353814983774,119
9,5.095567571929772,118
10,4.979749170907909,119
11,5.065368263829892,117
12,5.0313269919131605,115
13,4.922989906231115,118
14,5.0134684455026175,114
15,5.092100933505352,114
16,4.895758876442852,119
17,4.902752208413472,119
18,5.001235869564766,115
19,4.851911144905474,117
20,4.90206362214006,113
21,5.123571291514678,116
22,4.96381465049998,119
23,4.985322977246335,117
24,4.84898914984641,120
25,4.999761768059886,119
26,4.931680467791989,115
27,5.007735049872619,119
28,5.065570747317987,121
29,4.9894471330370145,110
30,5.034375764649598,113
31,5.032552750889607,113
32,5.0203191245037555,113
33,5.138091342560616,104
34,5.024920032065502,104
35,4.905422911076901,104
36,5.030051345476894,111
37,5.059668086887758,107
38,4.953887293780138,106
39,5.12708684689211,114
40,5.010660233089327,122
41,5.070523601531061,122
42,5.033097758438593,120
43,5.0514215924892225,121
44,4.970147935034828,118
45,5.074773884640979,120
46,4.856835821843312,119
47,5.0811345889345585,118
48,4.989674895605932,118
49,4.860497145347329,118
50,4.925400095830377,117
51,5.117555816392896,113
52,5.00715427125396,116
53,4.757237994101801,112
54,4.79581479556043,113
55,5.054415131900548,107
56,5.107434949897577,104
57,5.187218309211684,104
58,4.780446358349946,96
59,4.998246961644863,103
60,4.799718690258057,105
61,5.008255939456258,105
62,4.962751660205138,113
63,4.950047359798906,111
64,4.9983474693771415,118
65,4.933692232303453,108
66,4.860609246665478,112
67,4.857368360634762,120
68,5.138952381996346,119
69,5.142522909600254,114
70,5.022909423626379,115
71,4.950915145299382,115
72,4.964662640844816,119
73,5.133530387699407,120
74,4.997530992224204,128
75,4.987835966891543,130
76,5.094342662180057,133
77,5.215791409003221,136
78,5.06794417057632,129
79,4.914147566476936,129
80,4.899349867653273,122
81,4.981915772845191,119
82,4.934315305069496,116
83,5.030760994339353,119
84,4.91572732787096,116
85,5.134454591437773,118
86,5.043269074071087,119
87,5.114066442770772,118
88,5.204063040000152,119
89,5.101133532725166,117
90,4.977276661907583,120
91,4.900938129312623,113
92,4.958785736947288,119
93,4.885293028276913,119
94,5.17850623258221,121
95,5.038295694910021,113
96,5.016158800965802,109
97,5.010557168440919,117
98,5.151006858976966,115
99,5.104673561876755,113
