Generation,best_mate_1,best_mate_2,best_mate_3,best_mate_4,best_mate_5,best_mate_6,best_mate_7,best_mate_8,best_mate_9,best_mate_10,worst_mate_1,worst_mate_2,worst_mate_3,worst_mate_4,worst_mate_5,worst_mate_6,worst_mate_7,worst_mate_8,worst_mate_9,worst_mate_10
0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0
1,1,0,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,1
2,0,0,1,0,1,0,0,1,0,1,0,1,1,1,1,1,0,0,1,0
3,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0
4,0,1,0,1,0,1,1,0,1,1,0,1,0,1,0,0,0,1,1,0
5,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1
6,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,1,1
7,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1
8,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1
9,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1
10,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0
11,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1
12,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,1,0
13,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,1,0
14,0,1,1,1,0,1,1,0,1,0,0,0,1,1,0,1,0,0,1,0
15,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
16,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
17,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1
18,0,0,0,1,0,1,1,0,1,0,1,0,1,1,0,0,0,1,0,0
19,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1
20,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
21,0,0,1,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0
22,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0
23,1,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0
24,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,1
25,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0
26,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
27,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1
28,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0
29,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0
30,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0
31,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0
32,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0
33,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0
34,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0
35,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
36,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0
37,1,1,0,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1
38,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,0
39,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1
40,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1
41,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,0,1
42,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
43,0,1,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0
44,0,0,1,1,0,0,1,0,1,1,1,0,1,1,1,0,1,1,0,0
45,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0
46,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0
47,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
48,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
49,1,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,0
