Generation,best_mate_1,best_mate_2,best_mate_3,best_mate_4,best_mate_5,worst_mate_1,worst_mate_2,worst_mate_3,worst_mate_4,worst_mate_5
0,0,0,1,1,1,0,0,0,0,0
1,0,0,1,1,1,1,0,1,1,0
2,0,0,0,0,1,0,0,0,0,0
3,1,0,0,0,1,0,0,0,0,0
4,0,1,0,0,0,0,0,0,0,0
5,1,1,0,1,0,0,0,0,0,1
6,0,1,0,0,0,0,0,0,0,0
7,0,1,0,0,0,0,0,0,0,0
8,1,0,0,1,1,0,0,0,0,0
9,1,1,0,1,1,0,0,0,0,0
10,0,1,0,0,0,0,0,0,0,1
11,0,1,0,1,1,0,0,0,0,0
12,0,0,0,0,1,0,0,0,0,0
13,0,1,0,0,1,1,0,0,0,0
14,0,1,0,0,1,0,0,0,0,0
15,0,0,0,1,0,0,0,0,0,0
16,0,1,0,1,0,0,0,0,0,0
17,0,0,1,1,0,0,0,1,0,0
18,0,0,1,0,0,1,0,0,0,0
19,1,0,1,0,1,0,0,1,0,0
20,0,0,1,0,0,0,0,1,1,1
21,1,0,0,1,0,0,0,0,0,0
22,0,0,0,0,1,0,0,0,0,0
23,0,1,0,0,0,0,0,0,0,0
24,1,0,0,0,0,0,0,0,1,0
25,0,0,0,1,1,1,0,0,0,1
26,0,0,1,0,0,0,0,0,1,1
27,0,1,0,0,0,1,0,0,0,0
28,0,1,0,0,1,0,0,0,0,0
29,0,0,1,0,1,0,0,0,0,0
30,0,1,0,1,0,0,0,0,0,0
31,0,0,0,1,0,0,0,0,0,0
32,1,0,0,0,0,0,0,0,0,0
33,1,0,0,0,0,0,0,0,0,0
34,0,1,0,0,1,0,0,0,0,0
35,1,1,0,0,1,0,0,0,0,0
36,0,0,0,0,1,0,0,0,0,0
37,0,0,0,0,1,0,0,0,0,0
38,0,0,0,0,1,0,0,0,0,0
39,0,1,1,0,0,0,0,1,0,0
40,0,1,0,1,1,0,0,0,0,0
41,0,0,0,1,0,0,0,0,0,0
42,1,0,0,0,1,0,0,0,0,0
43,1,0,0,1,1,0,0,0,0,0
44,1,1,0,0,0,0,0,0,0,0
45,0,1,0,0,0,0,0,0,0,1
46,0,1,1,1,0,0,0,0,0,0
47,0,0,0,1,0,0,0,0,0,1
48,1,1,0,0,0,0,0,0,0,0
49,1,0,0,0,0,0,0,1,0,0
50,0,1,0,1,1,0,0,0,0,0
51,1,0,0,0,0,0,0,0,0,0
52,0,0,1,1,1,0,0,0,0,0
53,0,1,1,0,0,0,0,0,0,0
54,1,0,1,1,0,0,0,0,0,1
55,0,1,0,0,0,0,0,0,0,0
56,0,1,0,0,0,1,0,1,0,0
57,1,0,0,0,1,0,0,0,0,0
58,1,0,0,0,0,0,0,0,0,0
59,0,0,0,0,1,0,0,0,0,0
60,0,1,0,0,0,0,1,1,0,1
61,0,0,0,1,0,0,0,0,0,0
62,0,0,1,0,0,0,0,0,0,0
63,1,0,0,1,0,0,0,0,0,0
64,0,0,1,0,1,0,0,0,0,0
65,0,0,0,1,0,0,0,0,0,0
66,0,0,0,0,1,0,0,0,0,0
67,0,0,0,0,1,0,0,1,0,1
68,0,0,0,0,1,0,0,0,0,0
69,1,0,1,0,0,0,0,0,0,0
70,0,1,0,1,0,0,0,0,0,1
71,1,0,0,0,0,0,0,0,0,0
72,1,0,0,0,0,1,0,1,0,0
73,0,0,0,0,1,0,0,0,0,0
74,0,1,0,1,1,0,0,0,0,0
75,1,0,1,0,1,0,0,0,0,0
76,0,0,0,0,1,1,0,0,0,0
77,0,0,0,0,1,0,0,0,0,0
78,0,0,1,0,0,0,0,0,0,0
79,0,0,0,0,1,0,0,0,0,0
80,0,1,0,0,0,0,0,0,0,0
81,0,1,0,0,1,0,0,0,0,0
82,0,1,0,0,0,0,0,0,0,0
83,0,0,1,0,0,0,0,0,0,0
84,0,1,0,0,0,0,0,0,0,0
85,1,0,0,0,1,0,0,0,0,0
86,1,0,1,0,0,0,0,0,0,0
87,0,0,1,1,0,0,0,0,0,0
88,0,0,0,1,0,1,1,1,1,0
89,0,0,1,0,0,0,0,0,0,0
90,0,0,1,0,0,0,0,0,0,0
91,1,0,0,0,0,0,0,0,0,0
92,0,1,1,0,1,0,0,0,0,0
93,0,0,0,1,0,0,0,0,0,0
94,1,0,0,0,0,0,0,0,0,0
95,0,0,1,0,0,0,0,0,0,0
96,0,1,0,0,0,0,0,0,0,0
97,1,0,1,0,0,0,0,0,1,0
98,0,0,0,0,1,0,0,1,1,1
99,0,1,0,0,0,0,0,0,1,1
100,0,0,0,0,1,0,0,0,0,0
101,1,0,0,0,0,0,0,0,0,0
102,1,0,0,0,0,0,0,0,0,0
103,0,0,0,0,1,0,0,0,0,0
104,0,0,1,0,1,0,0,0,0,0
105,0,0,0,0,1,0,0,0,0,0
106,0,0,0,1,0,0,0,0,0,0
107,0,0,0,0,1,0,0,0,0,0
108,0,0,0,0,1,0,0,0,0,0
109,0,0,1,0,0,0,0,0,0,0
110,1,1,0,0,0,0,0,0,0,0
111,0,0,1,0,0,0,0,0,0,0
112,0,0,1,0,0,0,0,0,0,0
113,0,0,1,0,0,0,0,0,0,0
114,0,0,0,1,0,0,0,0,0,0
115,0,0,0,1,0,0,0,0,0,0
116,0,0,1,0,0,0,0,0,0,0
117,1,0,1,0,0,0,0,0,0,1
118,1,1,0,0,0,0,0,0,0,0
119,1,1,0,1,0,0,0,0,0,0
120,0,0,0,1,0,0,0,0,1,0
121,0,0,0,0,1,0,0,0,0,0
122,0,0,1,0,1,0,0,0,0,0
123,0,0,1,1,0,0,0,0,0,1
124,0,0,0,0,1,0,0,0,0,0
125,0,1,0,0,0,1,0,0,0,0
126,0,1,0,1,0,0,0,1,0,0
127,0,0,0,1,1,0,0,1,1,1
128,0,0,0,0,1,0,0,0,0,0
129,0,0,0,0,1,0,0,0,1,1
130,1,0,0,0,1,0,0,0,0,0
131,0,1,0,0,0,0,0,0,0,0
132,0,0,1,1,0,0,0,1,1,0
133,0,0,0,0,1,1,1,0,0,1
134,0,0,1,0,1,0,0,0,0,0
135,0,1,1,0,0,0,0,0,0,0
136,1,0,0,1,1,0,0,0,0,0
137,0,0,1,0,0,0,0,0,0,0
138,0,1,0,0,0,0,0,0,0,0
139,0,0,0,1,0,0,0,0,0,0
140,0,0,0,0,1,0,0,0,0,0
141,0,1,0,1,1,0,0,0,0,0
142,0,0,0,0,1,0,0,0,0,0
143,0,1,0,0,0,0,0,0,0,1
144,0,1,0,0,0,0,0,0,0,0
145,0,1,0,0,0,0,0,1,1,1
146,0,1,0,0,0,0,1,0,0,0
147,0,1,0,0,0,0,0,1,1,1
148,0,1,0,0,0,0,0,1,0,0
149,0,0,0,1,1,0,0,0,0,0
150,0,1,1,0,1,0,0,0,0,0
151,0,1,0,0,0,0,0,0,0,0
152,0,1,0,0,1,0,0,0,0,0
153,0,0,0,0,1,0,0,0,0,0
154,0,1,0,0,0,0,0,0,1,0
155,0,1,0,0,0,0,0,0,0,0
156,0,0,0,0,1,0,0,0,0,0
157,0,0,1,0,0,0,0,0,0,0
158,0,0,0,0,1,0,1,0,1,0
159,0,0,1,0,1,0,0,0,0,0
160,0,1,0,0,0,0,0,0,0,0
161,0,0,1,0,1,0,0,0,0,0
162,0,0,0,1,0,0,1,0,0,0
163,0,1,0,1,0,0,0,0,0,0
164,0,1,0,0,0,0,0,0,0,0
165,0,0,1,1,0,0,0,0,0,0
166,0,0,1,1,1,0,1,0,1,0
167,0,0,0,0,1,0,0,0,0,0
168,0,1,0,0,1,0,0,0,0,0
169,0,1,0,0,1,0,0,0,1,0
170,0,0,0,0,1,0,0,0,0,0
171,0,0,1,1,0,0,0,0,0,0
172,0,0,0,1,0,0,0,0,1,0
173,0,0,0,1,0,0,0,0,0,0
174,0,0,0,0,1,0,0,0,0,0
175,0,1,0,0,1,0,0,1,1,0
176,0,0,0,0,1,0,0,0,0,0
177,0,0,0,1,0,0,1,1,0,1
178,1,0,1,0,0,0,0,0,0,0
179,0,0,1,1,0,0,1,0,0,0
180,1,1,1,0,0,0,0,0,0,0
181,0,1,0,0,1,0,0,0,1,0
182,1,1,0,0,1,1,1,0,1,1
183,0,0,1,0,1,0,0,0,0,0
184,0,1,0,0,1,0,0,0,0,1
185,0,0,0,0,1,0,0,0,0,0
186,0,0,1,1,0,0,0,0,0,0
187,0,0,0,1,0,0,0,0,0,0
188,0,0,0,0,1,0,0,0,0,1
189,0,0,0,0,1,0,0,0,0,0
190,0,0,0,1,0,0,0,0,0,0
191,1,0,0,0,0,0,0,0,0,0
192,1,0,0,0,0,0,0,0,0,0
193,1,1,1,0,0,1,1,0,0,1
194,0,1,1,0,0,0,0,0,0,0
195,1,0,0,1,1,0,0,0,0,0
196,0,1,0,1,0,0,0,0,0,0
197,0,0,1,0,0,0,0,0,0,0
198,1,0,0,0,0,0,0,0,0,0
199,0,1,1,1,0,0,0,0,0,0
