Generation,best_mate_1,best_mate_2,best_mate_3,best_mate_4,best_mate_5,worst_mate_1,worst_mate_2,worst_mate_3,worst_mate_4,worst_mate_5
0,0,0,1,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0
2,0,1,0,0,0,0,1,0,0,0
3,1,0,1,0,0,0,0,0,1,0
4,1,0,0,0,0,1,0,0,0,0
5,0,1,1,0,1,0,1,0,0,0
6,0,1,0,0,0,0,1,0,0,0
7,1,0,0,0,0,0,0,1,0,1
8,0,1,0,0,0,1,0,0,0,0
9,0,0,0,0,1,0,1,0,0,0
10,0,0,1,0,0,0,0,0,0,0
11,0,0,1,1,0,0,0,0,0,0
12,0,1,0,0,1,0,0,0,0,0
13,0,1,0,0,0,0,0,0,0,0
14,1,1,0,1,0,0,1,1,1,1
15,1,0,0,0,0,0,0,0,0,0
16,0,1,0,0,1,0,0,0,0,0
17,0,1,0,0,0,0,0,0,0,0
18,0,0,0,0,1,0,0,0,0,0
19,0,0,0,0,1,0,0,0,0,0
20,0,1,1,0,0,0,0,0,0,0
21,0,0,1,0,1,0,0,0,0,1
22,0,1,1,1,1,0,0,0,0,0
23,0,0,0,0,1,0,0,0,0,0
24,1,0,0,0,0,0,0,0,0,0
25,0,1,1,0,0,0,0,0,0,0
26,1,1,0,0,1,0,0,0,0,0
27,0,0,0,0,1,0,0,0,0,0
28,1,0,0,0,0,0,0,0,0,0
29,1,0,0,0,0,0,1,1,0,1
30,1,0,1,0,1,0,0,1,0,1
31,0,1,0,1,1,1,0,1,0,0
32,1,0,0,1,0,0,0,0,0,0
33,0,1,1,1,0,0,0,0,0,1
34,0,0,0,1,0,1,0,0,0,1
35,1,0,0,1,0,0,0,0,0,0
36,0,0,1,0,0,0,0,0,0,0
37,1,0,0,0,0,0,0,1,1,1
38,0,0,0,0,1,0,0,1,1,0
39,1,0,0,0,1,0,0,0,0,0
40,1,0,0,0,1,1,0,0,0,1
41,1,0,0,0,1,1,0,1,0,0
42,1,0,0,0,0,1,1,0,1,0
43,1,1,0,0,1,0,0,0,0,0
44,1,0,0,0,1,0,0,0,0,0
45,1,1,0,0,1,0,0,0,0,0
46,0,1,0,0,1,0,0,0,0,0
47,1,0,1,1,0,1,0,1,0,0
48,1,1,0,0,0,0,1,1,1,0
49,1,1,0,0,1,0,0,0,0,0
50,1,0,1,1,0,0,1,1,0,0
51,0,0,0,1,0,1,1,1,0,0
52,1,0,0,1,0,0,0,0,0,0
53,0,0,0,1,0,1,0,0,0,0
54,0,0,1,0,0,0,0,0,0,0
55,1,1,0,0,0,1,0,1,1,0
56,0,0,0,0,1,0,0,0,0,0
57,0,0,1,0,0,0,0,0,0,0
58,1,0,1,0,0,0,0,0,0,1
59,0,0,1,0,1,0,0,0,0,0
60,1,0,0,0,0,0,0,0,0,0
61,0,0,1,0,0,0,0,0,0,0
62,0,1,0,0,0,0,0,0,0,0
63,0,1,0,0,0,0,1,0,0,0
64,0,1,0,1,0,0,0,0,0,0
65,1,0,0,0,0,0,0,0,0,0
66,1,0,1,1,0,0,1,0,1,0
67,1,0,0,0,0,0,0,0,0,0
68,0,1,0,0,1,0,1,1,0,0
69,0,0,1,0,0,0,0,0,0,0
70,0,0,1,0,0,0,0,0,0,0
71,1,1,0,0,0,0,0,0,0,0
72,1,1,0,1,0,0,0,0,0,0
73,1,0,0,0,0,0,0,0,0,0
74,1,1,0,0,1,1,1,0,1,0
75,1,0,0,0,0,0,0,0,0,0
76,1,1,0,0,0,0,0,0,0,0
77,0,1,1,0,0,0,0,0,0,0
78,0,0,0,1,1,0,1,0,0,0
79,0,0,0,0,1,0,0,0,0,0
80,1,0,0,0,0,1,1,0,0,0
81,1,1,0,0,0,0,0,0,0,1
82,0,0,1,0,0,0,0,0,0,0
83,1,0,0,0,1,0,0,1,1,0
84,1,0,0,0,1,0,0,0,1,1
85,1,1,0,0,1,0,0,0,0,0
86,0,0,1,0,0,0,0,0,1,0
87,0,0,1,0,0,0,0,0,0,0
88,0,0,1,0,0,0,0,0,0,0
89,0,0,1,0,0,0,0,0,0,0
90,1,0,0,0,0,0,0,0,0,0
91,1,0,0,0,0,0,0,0,0,0
92,0,0,0,0,1,0,0,1,0,0
93,1,0,0,0,0,0,0,0,0,0
94,0,1,0,0,0,0,0,0,0,0
95,0,1,0,0,0,0,0,1,0,0
96,1,0,0,1,0,0,0,0,0,0
97,0,0,1,0,0,0,0,0,0,0
98,1,0,0,1,0,0,0,0,0,0
99,0,1,0,0,1,0,0,1,0,0
100,1,0,0,0,0,0,0,0,0,0
101,0,1,0,1,0,0,0,0,0,0
102,0,1,1,1,1,1,0,0,1,0
103,0,1,1,0,0,0,0,1,0,0
104,1,0,1,1,0,0,0,1,1,1
105,1,1,0,1,0,0,0,0,1,1
106,0,1,0,1,0,0,0,0,0,0
107,0,0,1,0,1,0,0,0,0,0
108,1,1,0,1,0,0,0,0,0,0
109,1,1,1,0,1,0,0,0,1,1
110,1,0,1,1,0,0,0,0,0,0
111,0,1,0,1,0,0,0,0,1,0
112,1,0,0,0,1,0,0,0,1,1
113,1,0,0,1,1,0,0,1,0,1
114,0,1,1,1,0,0,0,0,0,0
115,0,0,0,0,1,0,1,1,1,0
116,0,0,0,0,1,0,1,0,1,0
117,0,0,0,0,1,0,0,0,0,0
118,0,0,0,0,1,0,0,0,0,0
119,0,0,0,0,1,0,0,0,0,0
120,0,0,0,1,0,0,0,1,0,0
121,0,0,1,1,1,0,0,0,1,0
122,0,1,1,0,0,0,0,0,0,0
123,0,0,0,1,0,0,0,0,0,0
124,1,1,1,0,1,0,0,0,0,0
125,0,0,1,0,0,0,0,0,0,0
126,0,0,0,1,0,0,0,1,1,0
127,0,0,0,1,0,0,0,0,0,0
128,1,0,1,0,0,0,0,0,0,0
129,0,1,1,0,0,0,0,0,0,0
130,0,0,0,1,0,0,0,0,0,0
131,0,0,1,0,0,0,0,0,0,1
132,1,0,0,0,0,0,0,0,0,0
133,0,1,0,0,1,0,0,0,0,0
134,0,1,0,0,0,0,0,0,0,0
135,0,1,0,0,0,0,0,0,0,0
136,1,1,0,0,1,0,0,0,0,0
137,0,0,0,0,1,1,0,0,0,0
138,0,0,0,0,1,0,0,0,0,0
139,0,0,0,0,1,0,0,0,0,0
140,0,1,0,1,1,0,1,0,0,0
141,0,0,0,1,0,0,0,0,0,0
142,0,0,0,0,1,0,0,0,0,0
143,0,0,1,0,0,0,0,0,0,0
144,0,0,1,0,0,0,0,0,1,0
145,1,0,1,0,0,0,1,1,1,0
146,0,0,0,1,0,0,0,1,0,0
147,0,0,0,0,1,0,0,0,0,0
148,0,0,1,0,1,1,0,0,0,0
149,0,1,0,0,1,1,0,0,0,1
150,0,0,0,0,1,0,0,0,0,0
151,1,0,0,1,0,1,0,0,0,0
152,0,0,1,0,0,0,0,0,0,0
153,0,1,0,0,1,0,0,0,0,0
154,0,1,1,0,1,0,0,0,0,0
155,1,1,0,0,0,0,1,1,0,1
156,0,1,0,0,1,0,1,0,0,0
157,0,0,1,0,0,0,0,0,0,0
158,0,0,1,0,0,0,0,0,0,0
159,0,0,0,1,0,0,0,0,0,0
160,0,1,0,1,0,0,0,0,0,0
