Generation,Ave_Fitness,All_Mate
0,4.78260309753057,268
1,4.913676530853338,295
2,5.012661317940463,292
3,4.964669192093409,291
4,5.048020515710387,282
5,4.935621166698939,286
6,4.999670754614854,287
7,5.036328597049356,278
8,5.035841393992215,278
9,5.013553512410694,267
10,4.855289583152153,268
11,4.7235251126244355,258
12,4.909050639000243,273
13,5.041342409382454,255
14,5.068641541049072,262
15,5.16016340806918,243
16,4.933438549598755,211
17,4.954353161100115,238
18,4.994781370086172,225
19,4.7524575752867095,219
20,4.875219268031692,242
21,5.062359773801197,273
22,4.852300004572434,262
23,4.9997074846689875,256
24,4.94713070963333,266
25,4.821116327474975,260
26,4.859811823261949,266
27,4.866004451664432,275
28,4.993365183110132,265
29,4.984478938378147,272
30,5.0697468857509085,304
31,4.936344330878802,287
32,5.02937445230638,291
33,5.048965701110398,293
34,5.024273489611485,293
35,4.856420127593435,269
36,4.854739074713893,269
37,5.09438451818286,271
38,5.0003479104288,260
39,4.790131340003706,257
40,5.009842331942828,284
41,4.918405023690923,279
42,5.018324860259098,288
43,4.910480963078195,276
44,4.787407463522071,284
45,4.994202250154961,276
46,4.894165054909039,262
47,5.018972789881071,270
48,5.014456273536526,281
49,4.947693940525214,264
50,4.940216366605286,272
51,5.052163168444603,268
52,5.014142940243438,276
53,5.015438461214645,270
54,4.856537313257188,268
55,5.0239386606055545,273
56,4.898285509619939,253
57,4.9547386534253715,249
58,5.035528238066638,246
59,5.016536308790059,246
60,4.808088906078636,233
61,4.812130534808305,230
62,4.997011614334559,269
63,4.984806608162741,260
64,5.0470601736580525,266
65,4.931624269503281,261
66,5.024242675465468,271
67,4.702783355095596,268
68,4.906862776607667,270
69,4.902438102388957,257
70,4.930413167068141,265
71,4.855853253155994,280
72,4.859989733858236,272
73,4.908198945629118,299
74,4.961908958800022,296
75,4.883904527706896,279
76,4.888502460884855,287
77,4.970853005897487,296
78,5.028741527968545,331
79,4.89212898662237,305
80,5.061189674342766,303
81,5.033168788962018,301
82,4.845560960468603,299
83,5.003423579139466,310
84,4.9826723796514765,284
85,4.964423585041966,263
86,4.901624860219849,270
87,4.851683093376728,262
88,4.948839890851454,259
89,4.978496452908242,270
90,4.95027002236656,253
91,4.892055881506872,267
92,4.959576180386103,270
93,4.923276239230923,294
94,4.952748656533031,280
95,5.022369782403892,269
96,4.890709758865677,259
97,4.978053080140252,266
98,4.915772312592612,283
99,5.048429703393785,303
100,4.837504251736318,285
101,4.875025619423579,282
102,5.088828264180177,276
103,5.050345172337696,268
104,5.005415749425368,282
105,5.024543781585391,302
106,4.9001965460355805,285
107,4.998112880435833,297
108,4.8859527663415925,289
109,5.060876417749773,313
110,4.864856932600866,299
111,4.916477662064721,290
112,4.95860625169335,300
113,4.953605136015025,304
114,4.861440800946087,279
115,5.056026894484937,289
116,5.033918563458945,262
117,4.941217450062471,249
118,4.776384012801994,251
119,5.044828618036984,270
120,5.021824903932652,287
121,4.997380638001057,317
122,4.9313700454115805,285
123,4.9468983842144665,274
124,4.898096681504065,276
125,4.917005714355827,263
126,4.9530279014582845,264
127,4.890522677016114,268
128,4.969768050850733,275
129,4.962503836444449,284
130,4.96210662115868,261
131,4.995885747235971,232
132,4.760160126493216,230
133,4.884748348750303,238
134,4.8857893132269625,237
135,4.895161900003071,237
136,4.893418787985241,251
137,4.997933027707316,259
138,4.933909875914709,257
139,4.8690417775235195,251
140,5.007969425266951,265
141,4.958368096046559,261
142,4.88683314047822,276
143,4.900310954812749,263
144,5.028521007148887,261
145,4.99532373639274,263
146,5.114339707134636,264
147,5.006873179339174,269
148,4.968810717762299,249
149,4.976138044519822,239
150,5.076350644667019,242
151,4.911102732499177,234
152,4.74668114465136,235
153,4.737243637286335,247
154,5.082968661492324,260
155,4.957615890560436,262
156,4.905021343016128,259
157,4.952023177434077,257
158,4.845544123767619,252
159,4.919548774806206,252
160,4.841013403737068,257
161,5.009900835080213,261
162,5.04488767316426,260
163,5.093551757527912,250
164,4.910105144387639,274
165,4.928261456836072,263
166,5.06172196556241,259
167,5.060572442560874,267
168,5.083550946660859,283
169,4.999763043614074,278
170,4.923553937494918,284
171,4.926692203657988,269
172,5.00088290275168,260
173,4.833632555382824,234
174,4.894680825798509,203
175,4.916234164998338,213
176,4.9245749845814295,231
177,4.8128252564361285,235
178,4.816694474536516,228
179,4.825277043570513,226
180,5.01761680451569,243
181,4.993330150407848,234
182,4.967147660446943,244
183,5.0181384907387745,228
184,5.02653735673818,212
185,4.994759250939191,238
186,4.761563566954772,237
187,5.054222840175532,248
188,4.842213811898452,241
189,4.862089360593365,238
190,5.094077005997269,234
191,5.1054462188614025,242
192,4.787238440614036,216
193,5.100794989130356,242
194,4.925587453952759,265
195,4.867107735449862,241
196,4.932615567642166,253
197,4.86607509489772,282
198,4.796760929585714,283
199,4.930992031495588,293
