Generation,Ave_Fitness,All_Mate
0,4.977180583853767,1004
1,4.9569865843210055,911
2,5.06390324186778,1027
3,5.039033003986785,955
4,5.000319497169596,890
5,4.980385535479782,846
6,4.982459937730183,850
7,4.959458958466112,843
8,4.983550727523843,945
9,4.996877657277238,865
10,4.986039023091516,859
11,4.97932477155698,746
12,4.98871748480063,760
13,4.999171158800118,808
14,4.980079800854765,811
15,5.00392050976783,874
16,5.004509501068628,852
17,4.988667459829094,875
18,4.955409905020946,819
19,4.965186716352913,735
20,5.032705887583024,720
21,4.997241376482631,834
22,5.03287879383678,767
23,5.022132083551206,683
24,4.967054505480196,666
25,5.006914942559396,642
26,5.006601001765024,602
27,4.9512820941459,619
28,5.0168460343229695,762
29,4.962645915405873,800
30,4.962203881175131,838
31,4.997601510481056,833
32,4.950913069310176,849
33,4.967623307403369,786
34,4.994339054412756,714
35,5.024882782678682,717
36,5.046640450629682,666
37,5.012326741275138,677
38,5.046684344303461,721
39,5.043763988204108,762
40,5.024570376815048,718
41,4.994370162962496,724
42,5.018360574522896,686
43,4.958598818557483,803
44,5.014512633766697,741
45,5.039484423373344,719
46,4.900517271108406,743
47,5.049695465276501,818
48,5.029019643276254,701
49,4.9503535359051485,713
50,5.065724468415635,761
51,4.955529636015264,761
52,4.961032505442035,801
53,5.0289222368047835,739
54,5.009708030297199,760
55,5.033877055180362,732
56,5.031346779412514,765
57,4.93128071029017,754
58,4.981776575043614,736
59,5.094211653719052,725
60,4.950697859488777,700
61,5.083935526553971,748
62,5.038456232042265,640
63,4.923774660567433,675
64,4.995819684784741,727
65,4.988376517855145,633
66,4.984485417256836,650
67,4.984272771186453,696
68,4.9543989270823126,620
69,5.038800246104384,461
70,5.014330379996043,487
71,4.997339668927665,528
72,4.976723923277881,600
73,4.936938785550913,645
74,4.95960434503992,573
75,4.989997356971947,631
76,5.027320593456651,738
77,5.014808063928178,754
78,5.002345411397358,755
79,5.072963367474264,821
80,5.048273750817595,878
81,5.035360821546379,780
82,5.0057911537543704,802
83,4.975580618859077,852
84,5.0067285836945405,798
85,5.035384743504605,824
86,5.021558528617844,761
87,5.085213431935043,799
88,4.942830809423346,798
89,4.944629387539189,837
90,5.0226782772576355,776
91,5.015977795500109,793
92,4.960670040902981,826
93,5.008815510422989,927
94,5.000133227335946,892
95,5.071035074198828,858
96,4.997343839174984,841
97,4.979255234470565,820
98,4.944383298582984,798
99,4.993861187462093,761
100,5.0187785957335045,714
101,4.976572653640512,611
102,5.024768777806979,671
103,5.0550672511611285,581
104,5.030007497472212,483
105,4.993405912279465,485
106,4.972127789954808,556
107,5.000609822941455,552
108,5.03059962403792,636
109,4.942658422085836,707
110,4.9996129898841914,735
111,5.049328605732377,801
112,5.01736945440976,761
113,4.969318097107473,818
114,4.980128984497547,853
115,5.035166339482959,861
116,5.018584674102201,896
117,4.98893270923844,919
118,5.064135650335786,794
119,4.952337266612342,780
120,5.031193085685911,816
121,4.96781935488318,814
122,5.02441800246138,794
123,5.020722144489163,872
124,5.01931894602959,808
125,4.968161571659216,705
126,5.027207542527922,715
127,4.940394434271369,805
128,4.968017053911747,813
129,5.053482212104434,817
130,5.029431760850236,743
131,4.969851524720833,742
132,4.985707075119015,812
133,5.0352000070143,813
134,4.98940129158231,811
135,5.1082727036463895,770
136,5.047377976859261,761
137,4.969547378245487,775
138,4.931116497052637,862
139,5.016342657752617,733
140,5.060759918664591,721
141,5.038655145068612,673
142,4.94744147090504,684
143,5.060731466207763,719
144,4.962383491127347,694
145,5.016827748212991,794
146,4.98046716825239,810
147,5.020672736071745,812
148,4.961955494520403,880
149,4.9622787337915035,840
150,5.0218314685345256,862
151,4.964352910374214,817
152,4.976478515249851,779
153,4.951126806280442,740
154,4.982863230809196,801
155,5.029523515847617,753
156,4.976374895622214,774
157,4.9926204822021605,705
158,5.010011784382623,737
159,4.983504737783995,816
160,5.001436945476647,732
161,5.002401559379646,736
162,4.986424171975975,757
163,4.9766488725118,757
164,5.018092521368618,867
165,5.027427845066213,764
166,4.992314400446003,715
167,5.0572399945063875,688
168,4.997134977138586,733
169,4.950690683486578,771
170,4.976758392155904,776
171,5.00243198932068,792
172,4.920536395429445,875
173,5.049764754646689,819
174,4.992661041520456,760
175,4.926765856248934,746
176,4.981088680599606,743
177,5.024368299045925,642
178,4.983452394515357,628
179,5.04597079188315,672
180,4.991288826354403,617
181,5.028856856143646,640
182,5.008727605614933,587
183,5.069041065668825,650
184,4.925445987625027,616
185,5.075553725736679,575
186,4.993335199641451,629
187,4.947814809644112,744
188,4.989365565294085,839
189,5.002061288107869,851
190,4.98092845447318,886
191,4.98785208743913,960
192,5.005961792237643,964
193,5.0453995151883335,857
194,5.063446228525366,834
195,4.94730234332585,824
196,4.9504992873596105,843
197,5.012280884289586,813
198,4.945763214027657,887
199,5.027976847181881,882
