Generation,Ave_Fitness,All_Mate
0,-12.968001837593112,1002
1,-10.99836087078063,897
2,-9.305780316880519,847
3,-7.990629104081433,757
4,-6.303206028630517,733
5,-6.599371743592074,715
6,-6.662615582986371,685
7,-6.264560918976566,717
8,-7.1233698066099445,715
9,-7.577997753187341,719
10,-7.4740856101137965,715
11,-6.368988374487584,729
12,-7.419316053298562,738
13,-7.409411623990313,729
14,-6.576919320484284,706
15,-7.194735203603845,680
16,-6.169442085929521,680
17,-6.185041119573472,656
18,-5.619735868852185,682
19,-6.795415688506949,696
20,-7.2814431812466776,705
21,-6.442726360139594,649
22,-6.795185604766953,648
23,-6.90635148651644,686
24,-6.430561367854807,649
25,-5.097188274373137,678
26,-6.026744120561654,676
27,-5.478224330580182,666
28,-7.398073680677049,680
29,-6.3458154859344695,670
30,-5.893793605148857,678
31,-6.702199184981375,694
32,-5.836243601153593,669
33,-4.994821112379296,684
34,-5.220438065260913,641
35,-5.641570906671326,648
36,-5.96072971637632,639
37,-6.185027360031215,661
38,-6.358614091796303,688
39,-5.26953665890717,674
40,-6.833680116430182,690
41,-6.998445311240334,685
42,-6.198830824874941,703
43,-6.957823162977524,652
44,-6.739679299600666,657
45,-5.778937158089722,610
46,-4.980065443011783,627
47,-6.331644756717605,647
48,-5.5891479970751,646
49,-6.166269169698222,660
50,-5.38403481407257,642
51,-6.703366845535706,625
52,-4.990277061503354,611
53,-3.8881015958392022,628
54,-5.591556047665865,658
55,-5.8673938708276925,662
56,-6.2516797318775,707
57,-6.669716263089977,672
58,-6.378888713379956,683
59,-7.055861903260274,710
60,-5.497486141187977,681
61,-6.348543020185191,648
62,-6.442855040221337,667
63,-6.646456024524173,644
64,-6.729081226892921,657
65,-5.922709861452295,686
66,-6.994345616582116,676
67,-6.046038683081423,673
68,-7.622505014720658,700
69,-6.548446830006791,619
70,-5.733060693646183,620
71,-5.907256203921827,678
72,-7.288706285312182,716
73,-6.197792608861728,683
74,-6.275214994091109,700
75,-6.082825217653027,697
76,-5.8850159396540995,684
77,-5.909698285270989,644
78,-6.4931991289711855,678
79,-6.290029648947203,657
80,-6.3440472220835975,644
81,-5.455374593054348,668
82,-6.8278604872216455,685
83,-6.606773654332142,701
84,-5.302958778861361,669
85,-6.125431527098362,637
86,-7.071267468038535,663
87,-6.323472417599029,626
88,-5.472775733347854,627
89,-5.7923084568532355,631
90,-6.674264389922473,685
91,-6.034055848469817,668
92,-5.53234104700625,663
93,-6.7704882716778005,671
94,-5.930710541723771,681
95,-6.537735633359504,687
96,-6.4892733289788405,685
97,-6.637714320372729,701
98,-5.775605311661973,697
99,-6.036596775397044,703
100,-5.331853031628456,665
101,-5.972210458192002,679
102,-6.951476459287423,665
103,-6.372567986820309,684
104,-6.121810296867015,672
105,-5.274424807221172,641
106,-7.19109281231453,693
107,-4.871355940784195,669
108,-6.874229963033258,691
109,-5.00522419759329,645
110,-6.0593296981435465,635
111,-5.149009949984617,605
112,-5.025019080953653,614
113,-5.707624992226988,625
114,-6.206939392493586,667
115,-6.608923341783617,717
116,-7.71079044855607,725
117,-6.109511903323913,702
118,-5.001698219967575,668
119,-7.683966918932793,683
120,-7.208147868935802,676
121,-6.136670184213781,696
122,-6.450170376183519,682
123,-6.971075510936575,654
124,-6.335913535280131,645
125,-5.370412119419654,656
126,-5.400591301201685,683
127,-6.440636695791902,688
128,-5.758865056654339,665
129,-4.965675072422103,613
130,-5.117400810876271,614
131,-4.938726955211413,648
132,-6.330067508945538,632
133,-6.664762091622083,635
134,-6.148639672669111,670
135,-5.315131329429229,653
136,-6.127986894999303,650
137,-6.588369730634326,706
138,-7.4317907427946235,707
139,-9.425791942016794,744
140,-6.399870909416275,706
141,-5.11714243964849,686
142,-5.105527227920333,676
143,-5.808939993075691,678
144,-5.992232321163791,657
145,-5.265429238711348,662
146,-6.045604336361899,627
147,-5.274287247036094,646
148,-8.067396334896777,679
149,-6.283147695830309,688
150,-5.931567876512101,661
151,-4.27706021474651,626
152,-5.987275470059221,620
153,-4.5949127467255755,626
154,-4.914035977704229,619
155,-7.457153656520047,684
156,-6.122687283649101,696
157,-7.805498118807481,693
158,-6.045913136320378,676
159,-6.652941793820747,684
160,-6.716562049293381,700
161,-6.495779930367012,705
162,-7.157910305039531,707
163,-8.181313176183338,692
164,-6.776532251097178,687
165,-7.2852337221824435,700
166,-5.954359353172329,698
167,-4.446338946320263,663
168,-5.452296391883863,657
169,-5.571168652060658,677
170,-6.542691295618011,717
171,-7.607656243081532,684
172,-6.642317322434848,715
173,-6.538441837187104,703
174,-7.470467337411394,678
175,-5.955870325716075,665
176,-5.561917566457888,672
177,-5.944677789858642,659
178,-6.473615301415302,645
179,-5.790087198905418,658
180,-5.3985678815289475,643
181,-6.387166141572884,650
182,-6.039365622831749,674
183,-5.360675724303171,677
184,-6.642981960728913,719
185,-7.700690352445138,738
186,-6.484042344511827,725
187,-7.458306093510953,704
188,-6.822544809120737,718
189,-6.513373464769512,700
190,-5.8632149328239676,689
191,-6.443297207648101,657
192,-5.970935232854417,628
193,-4.796435956244828,640
194,-5.346330524533121,647
195,-5.954463219136297,683
196,-6.2272255650013175,688
197,-6.186267290513798,709
198,-6.831956978766673,685
199,-8.283450714107907,680
