Generation,mate_1_look,mate_2_look,mate_3_look,mate_4_look,mate_5_look,mate_6_look,mate_7_look,mate_8_look,mate_9_look,mate_10_look
0,0.4,0.55,0.3,0.45,0.35,0.6,0.55,0.65,0.35,0.55
1,0.4,0.65,0.2,0.6,0.3,0.45,0.8,0.4,0.4,0.45
2,0.25,0.65,0.45,0.65,0.25,0.5,0.9,0.65,0.75,0.45
3,0.55,0.85,0.6,0.9,0.25,0.45,1.0,0.8,0.85,0.65
4,0.45,0.7,0.7,0.7,0.35,0.3,0.9,0.85,0.65,0.55
5,0.6,0.7,0.55,0.5,0.4,0.1,0.9,0.95,0.55,0.25
6,0.65,0.6,0.3,0.55,0.35,0.15,0.75,0.95,0.7,0.25
7,0.9,0.75,0.15,0.65,0.4,0.15,0.6,0.85,0.75,0.4
8,0.6,0.9,0.2,0.5,0.55,0.05,0.45,0.75,0.75,0.3
9,0.7,0.9,0.1,0.4,0.75,0.3,0.35,0.5,0.9,0.35
10,0.9,0.7,0.35,0.7,0.75,0.2,0.45,0.25,0.8,0.3
11,0.85,0.6,0.5,0.6,0.65,0.05,0.6,0.3,0.75,0.35
12,0.6,0.6,0.75,0.55,0.6,0.2,0.65,0.2,0.8,0.5
13,0.6,0.75,0.85,0.5,0.65,0.2,0.65,0.15,0.6,0.5
14,0.75,0.55,0.65,0.4,0.8,0.1,0.4,0.4,0.6,0.45
15,0.65,0.8,0.4,0.2,0.8,0.2,0.4,0.35,0.5,0.3
16,0.75,0.75,0.3,0.35,0.55,0.35,0.4,0.4,0.55,0.3
17,0.6,0.85,0.15,0.25,0.55,0.15,0.4,0.2,0.35,0.1
18,0.4,0.85,0.35,0.35,0.8,0.2,0.35,0.15,0.45,0.15
19,0.5,0.9,0.5,0.35,1.0,0.4,0.2,0.15,0.45,0.2
20,0.85,1.0,0.4,0.55,0.85,0.65,0.25,0.2,0.25,0.35
21,0.8,0.95,0.65,0.55,0.9,0.4,0.05,0.25,0.2,0.4
