Generation,mate_1_look,mate_2_look,mate_3_look,mate_4_look,mate_5_look,mate_6_look,mate_7_look,mate_8_look,mate_9_look,mate_10_look
0,0.55,0.5,0.45,0.55,0.4,0.4,0.35,0.5,0.45,0.5
1,0.45,0.65,0.5,0.7,0.3,0.3,0.25,0.45,0.55,0.6
2,0.5,0.8,0.5,0.7,0.5,0.5,0.1,0.45,0.55,0.6
3,0.6,0.85,0.65,0.5,0.4,0.65,0.05,0.55,0.6,0.65
4,0.7,0.8,0.85,0.45,0.3,0.8,0.05,0.55,0.5,0.6
5,0.7,0.75,0.65,0.45,0.3,0.85,0.15,0.55,0.5,0.4
6,0.7,0.7,0.9,0.35,0.35,0.75,0.15,0.4,0.35,0.45
7,0.8,0.6,0.7,0.4,0.3,0.6,0.25,0.6,0.55,0.45
8,0.45,0.35,0.75,0.55,0.25,0.35,0.2,0.3,0.6,0.15
9,0.85,0.35,0.65,0.2,0.15,0.25,0.25,0.15,0.55,0.3
10,0.9,0.55,0.55,0.15,0.35,0.25,0.2,0.15,0.65,0.35
11,0.6,0.5,0.5,0.2,0.6,0.15,0.0,0.3,0.55,0.4
12,0.7,0.5,0.6,0.15,0.5,0.05,0.0,0.15,0.8,0.45
13,0.8,0.6,0.75,0.05,0.5,0.1,0.15,0.1,0.75,0.55
14,0.75,0.55,0.75,0.05,0.4,0.2,0.1,0.1,0.55,0.5
15,0.7,0.6,0.85,0.1,0.35,0.25,0.15,0.05,0.6,0.7
16,0.85,0.55,0.65,0.2,0.35,0.25,0.15,0.15,0.55,0.7
17,0.9,0.65,0.6,0.5,0.6,0.25,0.2,0.3,0.65,0.7
18,0.85,0.65,0.6,0.5,0.7,0.45,0.45,0.25,0.55,0.55
19,0.65,0.6,0.45,0.55,0.7,0.45,0.55,0.0,0.65,0.55
20,0.6,0.25,0.4,0.25,0.5,0.6,0.55,0.25,0.85,0.4
21,0.4,0.35,0.3,0.0,0.55,0.65,0.9,0.1,1.0,0.35
22,0.3,0.65,0.25,0.2,0.55,0.25,0.7,0.1,0.9,0.4
23,0.35,0.65,0.3,0.1,0.55,0.2,0.55,0.2,0.8,0.5
24,0.5,0.75,0.35,0.0,0.6,0.3,0.55,0.25,0.7,0.5
25,0.7,0.85,0.25,0.1,0.5,0.25,0.5,0.25,0.75,0.5
26,0.55,0.85,0.35,0.1,0.3,0.45,0.5,0.2,0.75,0.5
27,0.75,0.85,0.2,0.25,0.3,0.35,0.3,0.1,0.75,0.65
28,0.75,0.8,0.45,0.25,0.35,0.35,0.1,0.2,0.8,0.6
29,0.6,0.9,0.5,0.1,0.25,0.45,0.15,0.1,0.8,0.4
30,0.8,0.85,0.4,0.2,0.45,0.3,0.3,0.0,0.6,0.45
31,0.8,0.85,0.35,0.15,0.3,0.15,0.2,0.15,0.3,0.15
32,0.85,0.95,0.25,0.05,0.15,0.05,0.2,0.3,0.25,0.05
33,0.75,0.75,0.1,0.05,0.25,0.2,0.45,0.0,0.35,0.2
34,0.85,0.65,0.35,0.05,0.35,0.25,0.75,0.1,0.35,0.2
35,0.95,0.55,0.65,0.1,0.2,0.3,0.75,0.25,0.4,0.1
36,0.85,0.4,0.55,0.2,0.2,0.15,0.55,0.25,0.25,0.3
37,0.95,0.4,0.4,0.15,0.25,0.25,0.4,0.25,0.2,0.3
38,0.85,0.3,0.7,0.2,0.15,0.3,0.65,0.15,0.1,0.2
39,0.85,0.45,0.5,0.3,0.3,0.1,0.9,0.2,0.05,0.05
40,0.65,0.3,0.5,0.45,0.15,0.0,0.9,0.45,0.1,0.15
41,0.7,0.2,0.55,0.55,0.2,0.1,0.9,0.7,0.4,0.3
42,0.65,0.1,0.7,0.4,0.2,0.35,0.7,0.8,0.1,0.15
43,0.6,0.2,0.7,0.5,0.1,0.25,0.5,0.8,0.2,0.3
44,0.7,0.15,0.9,0.7,0.15,0.25,0.3,0.8,0.1,0.35
45,0.9,0.2,0.8,0.55,0.05,0.4,0.3,0.95,0.1,0.35
46,0.7,0.3,0.65,0.5,0.1,0.65,0.3,0.85,0.2,0.25
47,0.7,0.15,0.65,0.45,0.2,0.5,0.4,0.65,0.2,0.4
48,0.65,0.0,0.7,0.6,0.3,0.6,0.5,0.65,0.3,0.6
49,0.8,0.0,0.6,0.7,0.4,0.65,0.15,0.45,0.2,0.35
50,1.0,0.05,0.65,0.75,0.6,0.8,0.0,0.75,0.1,0.35
51,0.85,0.1,0.65,0.55,0.7,0.75,0.0,0.8,0.15,0.3
52,0.7,0.2,0.3,0.65,0.6,0.6,0.15,1.0,0.2,0.25
53,0.7,0.3,0.5,0.5,0.55,0.65,0.15,0.9,0.5,0.3
54,0.5,0.55,0.55,0.45,0.45,0.45,0.15,0.85,0.45,0.4
55,0.5,0.55,0.65,0.7,0.3,0.3,0.05,0.85,0.4,0.5
56,0.45,0.55,0.65,0.6,0.4,0.65,0.15,0.75,0.35,0.35
57,0.3,0.5,0.5,0.55,0.4,0.8,0.1,0.75,0.4,0.35
58,0.55,0.4,0.45,0.6,0.5,0.8,0.4,0.55,0.45,0.35
59,0.4,0.2,0.6,0.45,0.25,0.7,0.35,0.5,0.45,0.4
60,0.7,0.5,0.75,0.35,0.3,0.75,0.15,0.55,0.6,0.35
61,0.65,0.65,0.6,0.55,0.25,0.35,0.2,0.5,0.45,0.2
62,0.65,0.45,0.8,0.25,0.6,0.4,0.45,0.25,0.7,0.05
63,0.85,0.2,0.75,0.15,0.65,0.3,0.4,0.45,0.55,0.05
64,0.65,0.25,0.7,0.2,0.75,0.25,0.45,0.6,0.8,0.0
65,0.85,0.4,0.55,0.2,0.95,0.05,0.55,0.65,0.8,0.05
66,0.85,0.2,0.8,0.55,0.95,0.15,0.4,0.8,0.4,0.15
67,0.95,0.15,0.85,0.5,0.9,0.3,0.3,0.7,0.4,0.15
68,0.9,0.2,0.8,0.45,0.9,0.45,0.2,0.65,0.5,0.1
69,0.85,0.2,0.55,0.5,0.9,0.4,0.2,0.35,0.65,0.15
70,0.9,0.35,0.65,0.35,0.7,0.85,0.4,0.35,0.7,0.35
71,0.6,0.5,0.8,0.45,0.65,0.85,0.5,0.65,0.6,0.35
72,0.65,0.35,0.65,0.55,0.5,0.85,0.65,0.4,0.55,0.15
73,0.65,0.2,0.4,0.5,0.3,0.8,0.55,0.4,0.7,0.25
74,0.55,0.2,0.3,0.35,0.45,0.35,0.55,0.3,0.45,0.4
75,0.6,0.45,0.3,0.35,0.25,0.5,0.45,0.5,0.4,0.55
76,0.8,0.55,0.15,0.4,0.1,0.55,0.4,0.5,0.55,0.55
77,0.85,0.55,0.3,0.25,0.25,0.65,0.35,0.45,0.65,0.45
78,0.95,0.7,0.45,0.25,0.1,0.65,0.2,0.25,0.7,0.5
79,0.85,0.65,0.45,0.4,0.0,0.8,0.1,0.25,0.7,0.45
80,0.95,0.4,0.6,0.5,0.1,0.8,0.25,0.5,0.5,0.4
81,0.85,0.2,0.45,0.65,0.1,0.85,0.1,0.65,0.4,0.5
82,0.95,0.15,0.35,0.7,0.2,0.9,0.15,0.5,0.25,0.55
83,0.8,0.3,0.4,0.7,0.2,0.85,0.35,0.5,0.3,0.5
84,0.75,0.5,0.25,0.8,0.35,0.95,0.4,0.45,0.4,0.35
85,0.9,0.6,0.2,0.8,0.5,0.95,0.2,0.7,0.25,0.25
86,0.85,0.6,0.2,0.6,0.7,0.8,0.4,0.75,0.45,0.3
87,0.6,0.55,0.1,0.3,0.75,0.55,0.55,0.85,0.7,0.45
88,0.65,0.45,0.15,0.55,0.75,0.35,0.7,0.75,0.8,0.6
89,0.75,0.4,0.35,0.35,0.7,0.35,0.7,0.8,0.5,0.5
90,0.7,0.35,0.35,0.45,0.7,0.25,0.85,0.7,0.35,0.55
91,0.9,0.4,0.1,0.45,0.8,0.45,0.75,0.5,0.25,0.7
92,1.0,0.35,0.05,0.45,0.8,0.3,0.55,0.7,0.45,0.55
93,0.85,0.35,0.35,0.4,0.4,0.35,0.6,0.8,0.45,0.75
94,0.85,0.2,0.35,0.5,0.5,0.35,0.8,0.85,0.4,0.7
95,0.95,0.25,0.4,0.15,0.35,0.15,0.4,0.85,0.4,0.9
96,0.7,0.45,0.4,0.2,0.25,0.1,0.4,0.85,0.6,0.9
97,0.75,0.45,0.7,0.3,0.2,0.2,0.55,1.0,0.6,0.85
98,1.0,0.65,0.7,0.5,0.3,0.15,0.8,0.95,0.2,0.8
99,1.0,0.6,0.55,0.4,0.5,0.25,0.6,0.9,0.15,0.55
