Generation,mate_1_look,mate_2_look,mate_3_look,mate_4_look,mate_5_look,mate_6_look,mate_7_look,mate_8_look,mate_9_look,mate_10_look,mate_11_look,mate_12_look,mate_13_look,mate_14_look,mate_15_look,mate_16_look,mate_17_look,mate_18_look,mate_19_look,mate_20_look
0,0.55,0.4,0.45,0.55,0.5,0.4,0.5,0.2,0.55,0.5,0.65,0.6,0.45,0.45,0.3,0.5,0.45,0.35,0.3,0.4
1,0.7,0.65,0.4,0.3,0.35,0.5,0.25,0.25,0.4,0.45,0.6,0.35,0.6,0.4,0.25,0.35,0.55,0.4,0.5,0.25
2,0.7,0.65,0.5,0.15,0.35,0.4,0.15,0.05,0.3,0.35,0.45,0.55,0.75,0.5,0.2,0.4,0.4,0.25,0.4,0.3
3,0.9,0.6,0.45,0.1,0.45,0.45,0.25,0.2,0.4,0.4,0.65,0.65,0.65,0.5,0.4,0.3,0.45,0.1,0.3,0.35
4,0.8,0.7,0.45,0.2,0.4,0.4,0.1,0.3,0.2,0.45,0.6,0.65,0.65,0.3,0.45,0.2,0.45,0.1,0.4,0.5
5,0.65,0.65,0.3,0.2,0.55,0.5,0.05,0.55,0.15,0.2,0.55,0.45,0.4,0.2,0.75,0.35,0.35,0.3,0.25,0.55
6,0.8,0.55,0.2,0.15,0.8,0.45,0.1,0.65,0.1,0.1,0.65,0.2,0.35,0.05,0.9,0.65,0.25,0.5,0.05,0.8
7,0.55,0.45,0.15,0.5,0.55,0.3,0.25,0.35,0.0,0.15,0.55,0.45,0.25,0.05,0.8,0.55,0.35,0.55,0.05,0.8
8,0.55,0.4,0.1,0.55,0.55,0.35,0.3,0.4,0.05,0.05,0.65,0.45,0.3,0.05,0.95,0.45,0.3,0.5,0.1,0.65
9,0.65,0.45,0.15,0.4,0.55,0.4,0.45,0.55,0.05,0.1,0.7,0.35,0.5,0.05,0.95,0.5,0.3,0.55,0.05,0.7
10,0.7,0.5,0.3,0.4,0.5,0.65,0.8,0.75,0.0,0.15,0.65,0.3,0.7,0.0,0.95,0.65,0.15,0.6,0.0,0.55
11,0.75,0.5,0.35,0.3,0.3,0.8,0.6,0.8,0.05,0.2,0.75,0.25,0.65,0.0,0.8,0.75,0.3,0.5,0.0,0.45
12,0.8,0.45,0.2,0.35,0.2,0.95,0.6,0.9,0.15,0.3,0.8,0.25,0.5,0.05,1.0,0.9,0.15,0.35,0.0,0.15
13,0.8,0.35,0.05,0.45,0.2,0.8,0.5,0.8,0.05,0.5,0.7,0.25,0.55,0.1,1.0,0.65,0.15,0.4,0.0,0.15
14,0.7,0.15,0.0,0.4,0.5,0.75,0.4,0.6,0.0,0.5,0.65,0.45,0.5,0.05,1.0,0.45,0.1,0.65,0.0,0.2
15,0.5,0.1,0.05,0.45,0.65,0.95,0.3,0.75,0.05,0.4,0.55,0.6,0.35,0.0,0.95,0.3,0.25,0.55,0.0,0.2
16,0.4,0.05,0.15,0.55,0.8,1.0,0.4,0.65,0.2,0.45,0.55,0.6,0.3,0.0,0.95,0.15,0.45,0.6,0.0,0.1
17,0.8,0.0,0.3,0.7,0.8,0.95,0.3,0.95,0.35,0.7,0.25,0.65,0.55,0.05,0.95,0.0,0.35,0.4,0.05,0.5
18,0.85,0.0,0.1,0.45,0.85,0.75,0.2,0.95,0.2,0.85,0.25,0.7,0.7,0.15,1.0,0.1,0.15,0.25,0.1,0.7
19,0.7,0.05,0.15,0.4,0.8,0.55,0.3,0.8,0.25,0.7,0.35,0.55,0.4,0.15,1.0,0.0,0.25,0.35,0.05,0.45
20,0.65,0.1,0.15,0.35,0.65,0.55,0.2,0.8,0.4,0.8,0.3,0.6,0.55,0.1,1.0,0.05,0.15,0.35,0.1,0.6
21,0.75,0.15,0.05,0.55,0.55,0.4,0.2,0.65,0.25,0.6,0.4,0.6,0.65,0.1,1.0,0.2,0.15,0.6,0.25,0.35
22,0.75,0.3,0.05,0.45,0.5,0.65,0.0,0.65,0.15,0.45,0.35,0.75,0.5,0.35,0.95,0.1,0.15,0.75,0.15,0.3
23,0.65,0.35,0.1,0.3,0.65,0.8,0.05,0.8,0.15,0.45,0.5,0.9,0.1,0.5,1.0,0.15,0.15,0.9,0.1,0.3
24,0.7,0.3,0.25,0.4,0.6,0.8,0.05,0.7,0.15,0.35,0.45,0.9,0.25,0.5,0.9,0.1,0.25,0.9,0.1,0.2
25,0.55,0.35,0.5,0.45,0.45,0.6,0.1,0.5,0.1,0.65,0.4,0.9,0.45,0.4,0.8,0.0,0.05,1.0,0.05,0.4
26,0.45,0.3,0.55,0.4,0.35,0.6,0.0,0.45,0.25,0.8,0.35,0.85,0.55,0.4,1.0,0.15,0.05,0.95,0.1,0.45
27,0.35,0.65,0.6,0.35,0.35,0.65,0.1,0.5,0.1,0.8,0.15,0.8,0.6,0.6,0.9,0.4,0.0,0.9,0.1,0.15
28,0.65,0.7,0.5,0.4,0.15,0.75,0.05,0.55,0.2,0.85,0.35,0.95,0.45,0.8,0.9,0.25,0.0,0.9,0.2,0.05
29,0.5,0.45,0.4,0.6,0.05,0.65,0.0,0.65,0.15,0.85,0.15,1.0,0.65,0.7,0.85,0.35,0.15,0.9,0.3,0.2
30,0.55,0.45,0.4,0.75,0.1,0.65,0.05,0.65,0.2,0.9,0.1,0.95,0.75,0.7,0.7,0.4,0.2,0.85,0.45,0.2
31,0.9,0.2,0.1,0.95,0.2,0.85,0.0,0.9,0.15,0.8,0.2,1.0,0.65,0.8,0.7,0.15,0.0,0.85,0.75,0.15
32,0.75,0.15,0.1,0.95,0.4,0.8,0.0,0.9,0.1,0.8,0.2,0.9,0.7,0.9,0.75,0.1,0.1,0.7,0.5,0.0
33,0.7,0.0,0.3,0.8,0.45,0.9,0.15,0.8,0.1,0.9,0.15,0.95,0.45,1.0,0.85,0.05,0.0,0.85,0.6,0.05
34,0.9,0.05,0.15,0.5,0.55,0.95,0.1,0.65,0.4,0.85,0.2,0.95,0.6,0.85,0.8,0.05,0.0,0.7,0.75,0.0
35,0.85,0.1,0.15,0.6,0.55,0.8,0.0,0.7,0.35,0.9,0.2,1.0,0.6,0.65,0.85,0.05,0.0,0.6,0.7,0.15
36,1.0,0.05,0.25,0.55,0.65,0.5,0.05,0.7,0.35,0.8,0.4,0.95,0.55,0.7,0.7,0.05,0.1,0.7,0.55,0.15
37,1.0,0.15,0.2,0.45,0.6,0.5,0.2,0.85,0.25,0.85,0.5,0.95,0.6,0.45,0.55,0.05,0.15,0.6,0.45,0.1
38,1.0,0.35,0.15,0.35,0.65,0.6,0.0,1.0,0.1,0.7,0.55,0.95,0.8,0.4,0.5,0.1,0.05,0.55,0.4,0.1
39,0.95,0.55,0.0,0.35,0.6,0.7,0.05,0.95,0.25,0.6,0.4,1.0,0.65,0.35,0.45,0.15,0.0,0.45,0.45,0.1
40,1.0,0.45,0.05,0.5,0.65,0.7,0.1,0.8,0.25,0.9,0.45,1.0,0.6,0.45,0.5,0.3,0.05,0.35,0.5,0.2
41,0.95,0.5,0.0,0.45,0.45,0.7,0.2,0.6,0.2,0.9,0.35,0.85,0.5,0.2,0.65,0.5,0.15,0.3,0.55,0.05
42,1.0,0.4,0.1,0.5,0.4,0.4,0.3,0.8,0.4,0.85,0.45,0.6,0.35,0.45,0.75,0.45,0.25,0.15,0.8,0.2
43,0.95,0.2,0.1,0.7,0.3,0.25,0.3,0.6,0.3,0.5,0.55,0.6,0.35,0.4,0.8,0.3,0.1,0.35,0.8,0.25
44,1.0,0.15,0.1,0.75,0.4,0.2,0.4,0.7,0.35,0.55,0.7,0.65,0.2,0.45,0.8,0.05,0.05,0.2,0.9,0.4
45,0.95,0.05,0.2,0.85,0.1,0.3,0.55,0.6,0.65,0.8,0.6,0.55,0.15,0.25,0.8,0.2,0.0,0.1,1.0,0.55
