Generation,mate_1_look,mate_2_look,mate_3_look,mate_4_look,mate_5_look
0,0.65,0.55,0.45,0.6,0.6
1,0.55,0.65,0.55,0.6,0.35
2,0.35,0.4,0.6,0.5,0.3
3,0.45,0.6,0.5,0.35,0.3
4,0.4,0.65,0.25,0.6,0.35
5,0.35,0.45,0.4,0.5,0.45
6,0.4,0.6,0.45,0.3,0.35
7,0.55,0.55,0.65,0.3,0.4
8,0.5,0.4,0.75,0.15,0.3
9,0.35,0.5,0.7,0.65,0.3
10,0.25,0.4,0.65,0.5,0.55
11,0.6,0.4,0.55,0.45,0.55
12,0.65,0.35,0.7,0.3,0.45
13,0.4,0.25,0.5,0.1,0.35
14,0.55,0.45,0.5,0.2,0.35
15,0.65,0.5,0.5,0.2,0.3
16,0.7,0.5,0.7,0.45,0.55
17,0.45,0.35,0.55,0.5,0.35
18,0.45,0.4,0.25,0.6,0.1
19,0.75,0.4,0.05,0.55,0.3
20,0.45,0.35,0.3,0.35,0.3
21,0.4,0.5,0.3,0.4,0.45
22,0.2,0.6,0.35,0.3,0.4
23,0.2,0.6,0.3,0.15,0.45
24,0.4,0.5,0.65,0.35,0.3
25,0.3,0.35,0.3,0.25,0.4
26,0.35,0.4,0.3,0.35,0.4
27,0.4,0.5,0.6,0.25,0.4
28,0.45,0.9,0.45,0.4,0.45
29,0.5,0.8,0.4,0.45,0.4
30,0.55,0.65,0.45,0.3,0.45
31,0.8,0.6,0.35,0.3,0.65
32,0.65,0.55,0.3,0.25,0.45
33,0.6,0.65,0.45,0.25,0.45
34,0.6,0.6,0.85,0.25,0.6
35,0.3,0.45,0.7,0.3,0.4
36,0.4,0.5,0.7,0.5,0.55
37,0.6,0.5,0.55,0.25,0.35
38,0.65,0.35,0.5,0.3,0.45
39,0.6,0.3,0.5,0.4,0.3
40,0.65,0.4,0.7,0.2,0.2
41,0.4,0.75,0.8,0.15,0.45
42,0.45,0.75,0.7,0.3,0.35
43,0.5,0.8,0.75,0.25,0.3
44,0.45,0.5,0.7,0.5,0.35
45,0.6,0.3,0.65,0.25,0.2
46,0.45,0.1,0.45,0.3,0.55
47,0.3,0.15,0.4,0.35,0.6
48,0.4,0.3,0.45,0.25,0.7
49,0.4,0.4,0.4,0.3,0.8
50,0.35,0.35,0.45,0.2,0.85
51,0.4,0.55,0.5,0.25,0.7
52,0.35,0.5,0.65,0.4,0.6
53,0.55,0.4,0.45,0.35,0.3
54,0.7,0.4,0.55,0.45,0.4
55,0.6,0.6,0.45,0.2,0.35
56,0.7,0.55,0.4,0.3,0.35
57,0.5,0.45,0.5,0.3,0.25
58,0.4,0.6,0.7,0.6,0.4
59,0.6,0.65,0.6,0.55,0.25
60,0.4,0.65,0.45,0.5,0.1
61,0.55,0.6,0.3,0.4,0.15
62,0.4,0.7,0.3,0.55,0.2
63,0.6,0.4,0.2,0.65,0.3
64,0.55,0.25,0.35,0.65,0.5
65,0.35,0.4,0.25,0.35,0.45
66,0.35,0.25,0.3,0.2,0.6
67,0.4,0.4,0.3,0.1,0.45
68,0.4,0.35,0.3,0.35,0.65
69,0.6,0.5,0.2,0.3,0.75
70,0.55,0.45,0.15,0.4,0.5
71,0.75,0.3,0.3,0.3,0.65
72,0.5,0.6,0.65,0.25,0.55
73,0.55,0.15,0.55,0.35,0.4
74,0.65,0.4,0.5,0.4,0.55
75,0.5,0.2,0.35,0.55,0.55
76,0.5,0.35,0.6,0.45,0.85
77,0.35,0.3,0.65,0.5,0.8
78,0.45,0.5,0.45,0.55,0.75
79,0.5,0.15,0.25,0.7,0.65
80,0.15,0.35,0.25,0.7,0.8
81,0.05,0.1,0.35,0.85,0.85
82,0.25,0.15,0.5,0.7,0.85
83,0.25,0.1,0.4,0.85,0.75
84,0.3,0.3,0.3,0.35,0.6
85,0.2,0.2,0.45,0.6,0.3
86,0.05,0.35,0.5,0.45,0.2
87,0.35,0.35,0.55,0.5,0.35
88,0.65,0.35,0.4,0.65,0.35
89,0.7,0.45,0.5,0.65,0.5
90,0.35,0.25,0.4,0.75,0.45
91,0.45,0.25,0.4,0.65,0.35
92,0.4,0.2,0.55,0.8,0.55
93,0.4,0.25,0.5,0.55,0.7
94,0.3,0.25,0.25,0.6,0.6
95,0.4,0.5,0.7,0.6,0.5
96,0.4,0.55,0.75,0.5,0.4
97,0.4,0.65,0.7,0.55,0.2
98,0.3,0.7,0.4,0.3,0.3
99,0.35,0.55,0.25,0.55,0.4
