Generation,Average Fitness,Stddev Fitness,Average Threshold,Stdev Threhold
0,0.0,0.0,3.3,3.0675723300355937
1,1.122498381620755,1.902987746812354,3.3,3.0675723300355937
2,2.307665249711892,2.7687370868384957,3.3,3.0675723300355937
3,2.7298109769235177,2.676636233860892,3.3,3.0675723300355937
4,3.285302295178935,2.897966181789938,3.3,3.0675723300355937
5,4.591277405029707,2.5789234165373744,3.3,3.0675723300355937
6,4.648528469544507,2.5111089368484305,3.3,3.0675723300355937
7,4.726781045548957,2.5348550078395253,3.3,3.0675723300355937
8,4.800886581538345,2.5352384108119383,3.3,3.0675723300355937
9,4.852553318556822,2.5982148603765416,3.3,3.0675723300355937
