Genome,Ave_fit,Std_fit,Ave_thr,Std_thr,Seed,Num_Learning,Num_Mating
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",11.378138969838900,4.378461312818800,10.164866971035700,2.2822642676302700,26867,1,9
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",11.633880736812200,4.85953339453709,10.101834977670800,2.0533472754010100,4450,2,8
"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",11.435254368198800,4.611303611590210,10.006310602383100,2.070976748274200,68454,2,8
"[1, 0, 0, 0, 0, 0, 0, 0, 1, 1]",11.859331500616300,5.0605429403779600,10.020695390213400,2.227679799547080,48077,3,7
"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",11.345107108334300,4.3947654896532100,9.876819162711240,2.0953196509896500,87801,2,8
"[1, 0, 0, 0, 0, 0, 0, 1, 0, 1]",11.895457144190200,4.762198245704360,10.19589185112500,2.1852606583401100,60345,3,7
"[1, 0, 0, 0, 0, 0, 0, 1, 1, 0]",11.741643527580300,5.224333435633250,10.074514626575000,2.2128641771741600,67780,3,7
"[1, 0, 0, 0, 0, 0, 0, 1, 1, 1]",12.909836671690700,5.7584862321986400,10.034694059450100,2.0881215703567500,38526,4,6
"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0]",11.787730724763300,4.929702806141870,10.159461611414300,2.2555535994384000,58082,2,8
"[1, 0, 0, 0, 0, 0, 1, 0, 0, 1]",11.766723551630000,5.21305952412057,10.083894651389500,2.3294797664730100,72037,3,7
"[1, 0, 0, 0, 0, 0, 1, 0, 1, 0]",11.76289023551070,5.136174067841930,10.055107255529900,2.1806464898488700,46840,3,7
"[1, 0, 0, 0, 0, 0, 1, 0, 1, 1]",12.632346982069400,5.673854549180010,10.186031710794500,2.270709793335200,41103,4,6
"[1, 0, 0, 0, 0, 0, 1, 1, 0, 0]",11.373567845512200,4.802297362963450,10.027750279548900,2.1469783429707700,98065,3,7
"[1, 0, 0, 0, 0, 0, 1, 1, 0, 1]",11.686177934290600,5.084976258418940,10.041017741019400,2.2485395511058800,64893,4,6
"[1, 0, 0, 0, 0, 0, 1, 1, 1, 0]",11.59857106465970,5.484494297752550,10.006236753392000,2.12325080888515,13968,4,6
"[1, 0, 0, 0, 0, 0, 1, 1, 1, 1]",12.428745353180900,5.993886068537610,10.046454149945900,2.3245618480231300,44091,5,5
"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0]",11.42473500912980,4.703607311935330,10.038932885260900,2.02803818584825,86216,2,8
"[1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",11.619134113199100,4.564264130106460,10.031792433909400,2.152575610218490,5072,3,7
"[1, 0, 0, 0, 0, 1, 0, 0, 1, 0]",11.793660610403300,5.335782551499300,10.06172736882310,2.2581309604682900,1325,3,7
"[1, 0, 0, 0, 0, 1, 0, 0, 1, 1]",12.5062388145227,5.297949448369330,10.178877816599800,2.1947438504974000,56439,4,6
"[1, 0, 0, 0, 0, 1, 0, 1, 0, 0]",11.661864201959100,5.301040016481040,10.121243748321200,2.252550551975640,73895,3,7
"[1, 0, 0, 0, 0, 1, 0, 1, 0, 1]",12.134540260275,5.821328535084020,10.248406143916300,2.309970526596590,48634,4,6
"[1, 0, 0, 0, 0, 1, 0, 1, 1, 0]",11.871190914478600,5.207567055377480,10.049692031366900,2.1674154334137600,92703,4,6
"[1, 0, 0, 0, 0, 1, 0, 1, 1, 1]",12.43542836171540,6.37286900656085,10.150465008874500,2.1389612575839600,84155,5,5
"[1, 0, 0, 0, 0, 1, 1, 0, 0, 0]",11.772960166524400,5.0141371057989800,10.132156198399200,2.2781209907180400,15984,3,7
"[1, 0, 0, 0, 0, 1, 1, 0, 0, 1]",12.320336474936900,5.139876977054830,10.206982774894500,2.184576102607730,72216,4,6
"[1, 0, 0, 0, 0, 1, 1, 0, 1, 0]",12.434290414642000,5.462403443112470,9.981841027576070,2.228183914888180,83194,4,6
"[1, 0, 0, 0, 0, 1, 1, 0, 1, 1]",11.911293907411100,5.8083612613237700,10.002534625524400,2.0812540659075800,68030,5,5
"[1, 0, 0, 0, 0, 1, 1, 1, 0, 0]",12.345046430795500,5.194200222705100,10.13821175997440,2.1061275773523300,45400,4,6
"[1, 0, 0, 0, 0, 1, 1, 1, 0, 1]",12.567046039980100,5.910549680293270,10.246578963669400,2.199595784821820,15168,5,5
"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",12.158636608291100,6.479717792171630,10.11540063225800,2.1660295398960600,58657,5,5
"[1, 0, 0, 0, 0, 1, 1, 1, 1, 1]",12.411272848937200,6.978339135644420,10.166491739874700,2.2565092612272900,61207,6,4
"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0]",11.837766456087200,4.352596500836560,10.208711633826700,2.249706583505570,48327,2,8
"[1, 0, 0, 0, 1, 0, 0, 0, 0, 1]",11.993621771801100,5.04987073133238,9.892868174214950,2.1688943777796900,80129,3,7
"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0]",12.136223269879100,4.949943418166050,10.086218530179400,2.186362757770910,675,3,7
"[1, 0, 0, 0, 1, 0, 0, 0, 1, 1]",12.16249125825750,5.470573815235520,9.990961688660150,2.1273905972028900,99969,4,6
"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0]",11.720256851679800,4.817482203191320,10.169889282338100,2.161934261072130,3678,3,7
"[1, 0, 0, 0, 1, 0, 0, 1, 0, 1]",12.678410690411800,5.984824328318470,10.305565882561600,2.388726259262630,43796,4,6
"[1, 0, 0, 0, 1, 0, 0, 1, 1, 0]",11.719842553062300,5.619996896482800,10.102090815372700,2.201311927028410,74486,4,6
"[1, 0, 0, 0, 1, 0, 0, 1, 1, 1]",12.38460413382940,6.037643422471040,10.065605282122700,2.294150533782980,10892,5,5
"[1, 0, 0, 0, 1, 0, 1, 0, 0, 0]",11.675587620588400,4.819109057281750,10.155232940986900,2.162681148211610,73912,3,7
"[1, 0, 0, 0, 1, 0, 1, 0, 0, 1]",12.21312768772860,5.457245045478840,10.119679885104000,2.159515171443540,79420,4,6
"[1, 0, 0, 0, 1, 0, 1, 0, 1, 0]",11.904402640143600,4.92599920610901,10.235258726386700,2.117628230634110,70019,4,6
