Genome,Ave_fit,Std_fit,Ave_thr,Std_thr,Seed,Num_Learning,Num_Mating
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",16.25325838805310,4.3156746640971900,10.227771627391100,2.2097514981349400,35414,1,9
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",15.784896898916800,4.198393849561320,10.120341102480800,2.2103943875910200,99796,2,8
"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",15.780614702107000,4.307568248221720,10.015323971919700,2.1823665399600600,15562,2,8
"[1, 0, 0, 0, 0, 0, 0, 0, 1, 1]",15.804165579422500,4.512268194936270,10.089569382063100,2.1388746954327400,56031,3,7
"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",15.85740499213130,4.5820102651443600,10.130740511515400,2.231919282081070,17371,2,8
"[1, 0, 0, 0, 0, 0, 0, 1, 0, 1]",15.666206544106100,5.061079441040030,10.03968303237810,2.1737806367477400,3899,3,7
"[1, 0, 0, 0, 0, 0, 0, 1, 1, 0]",16.140124892128800,4.949334837314570,10.227771627391100,2.2097514981349400,35414,3,7
"[1, 0, 0, 0, 0, 0, 0, 1, 1, 1]",15.40643469806220,5.039888966778180,10.120341102480800,2.2103943875910200,99796,4,6
"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0]",15.711555863984000,4.191650930823500,10.015323971919700,2.1823665399600600,15562,2,8
"[1, 0, 0, 0, 0, 0, 1, 0, 0, 1]",15.862902815292300,4.4892423115876600,10.089569382063100,2.1388746954327400,56031,3,7
"[1, 0, 0, 0, 0, 0, 1, 0, 1, 0]",15.753391812509200,4.549059280516540,10.130740511515400,2.231919282081070,17371,3,7
"[1, 0, 0, 0, 0, 0, 1, 0, 1, 1]",15.623088948091200,5.184174219037910,10.03968303237810,2.1737806367477400,3899,4,6
"[1, 0, 0, 0, 0, 0, 1, 1, 0, 0]",16.056308531639000,4.929714539144410,10.227771627391100,2.2097514981349400,35414,3,7
"[1, 0, 0, 0, 0, 0, 1, 1, 0, 1]",15.370900069388400,4.935724924163300,10.120341102480800,2.2103943875910200,99796,4,6
"[1, 0, 0, 0, 0, 0, 1, 1, 1, 0]",15.374907557056900,5.03948135156621,10.015323971919700,2.1823665399600600,15562,4,6
"[1, 0, 0, 0, 0, 0, 1, 1, 1, 1]",15.45403875401150,5.420134392889330,10.089569382063100,2.1388746954327400,56031,5,5
"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0]",16.028075333233200,4.304956347681030,10.130740511515400,2.231919282081070,17371,2,8
"[1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",15.569715440953700,4.640340023351400,10.03968303237810,2.1737806367477400,3899,3,7
"[1, 0, 0, 0, 0, 1, 0, 0, 1, 0]",16.12935398877740,4.844588267024090,10.227771627391100,2.2097514981349400,35414,3,7
"[1, 0, 0, 0, 0, 1, 0, 0, 1, 1]",15.528884958406200,5.014541701822840,10.120341102480800,2.2103943875910200,99796,4,6
"[1, 0, 0, 0, 0, 1, 0, 1, 0, 0]",15.692932843998400,4.428964673340450,10.015323971919700,2.1823665399600600,15562,3,7
"[1, 0, 0, 0, 0, 1, 0, 1, 0, 1]",15.651479920837700,4.989463228233840,10.089569382063100,2.1388746954327400,56031,4,6
"[1, 0, 0, 0, 0, 1, 0, 1, 1, 0]",15.609476299298000,5.138644964106240,10.130740511515400,2.231919282081070,17371,4,6
"[1, 0, 0, 0, 0, 1, 0, 1, 1, 1]",14.755692735584600,5.95890917082033,10.03968303237810,2.1737806367477400,3899,5,5
"[1, 0, 0, 0, 0, 1, 1, 0, 0, 0]",16.025500790616300,4.9125152715189100,10.227771627391100,2.2097514981349400,35414,3,7
"[1, 0, 0, 0, 0, 1, 1, 0, 0, 1]",15.448709566934800,5.014260447614310,10.120341102480800,2.2103943875910200,99796,4,6
"[1, 0, 0, 0, 0, 1, 1, 0, 1, 0]",15.331879731187600,5.003145858983490,10.015323971919700,2.1823665399600600,15562,4,6
"[1, 0, 0, 0, 0, 1, 1, 0, 1, 1]",15.468837029015800,5.3707309201082500,10.089569382063100,2.1388746954327400,56031,5,5
"[1, 0, 0, 0, 0, 1, 1, 1, 0, 0]",15.539175143870900,5.296502200180290,10.130740511515400,2.231919282081070,17371,4,6
"[1, 0, 0, 0, 0, 1, 1, 1, 0, 1]",14.749317996621300,6.149979327414560,10.03968303237810,2.1737806367477400,3899,5,5
"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",15.55868437131370,5.978350134143510,10.227771627391100,2.2097514981349400,35414,5,5
"[1, 0, 0, 0, 0, 1, 1, 1, 1, 1]",14.304538973151100,6.584016806071490,10.120341102480800,2.2103943875910200,99796,6,4
"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0]",15.727494452447000,4.096929387251220,10.015323971919700,2.1823665399600600,15562,2,8
"[1, 0, 0, 0, 1, 0, 0, 0, 0, 1]",15.79601211578220,4.720408411857840,10.089569382063100,2.1388746954327400,56031,3,7
"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0]",15.84535505813310,4.568977824781290,10.130740511515400,2.231919282081070,17371,3,7
"[1, 0, 0, 0, 1, 0, 0, 0, 1, 1]",15.522684012930900,4.90123409515984,10.03968303237810,2.1737806367477400,3899,4,6
"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0]",15.974728503281000,4.919642930232070,10.227771627391100,2.2097514981349400,35414,3,7
"[1, 0, 0, 0, 1, 0, 0, 1, 0, 1]",15.425120108186200,4.655519270777600,10.120341102480800,2.2103943875910200,99796,4,6
"[1, 0, 0, 0, 1, 0, 0, 1, 1, 0]",15.511118248903700,4.8926701526374900,10.015323971919700,2.1823665399600600,15562,4,6
"[1, 0, 0, 0, 1, 0, 0, 1, 1, 1]",15.220681891870000,5.565735625999080,10.089569382063100,2.1388746954327400,56031,5,5
"[1, 0, 0, 0, 1, 0, 1, 0, 0, 0]",15.891554406181800,4.550503328997550,10.130740511515400,2.231919282081070,17371,3,7
"[1, 0, 0, 0, 1, 0, 1, 0, 0, 1]",15.539760728516500,5.082497192253100,10.03968303237810,2.1737806367477400,3899,4,6
