Genome,Ave_fit,Std_fit,Sum_fit,Ave_thr,Std_thr,Seed,Num_Learning,Num_Mating
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",15.119815366984728,3.996194738222166,11.123620628762563,10.09077558830778,2.1752766872481466,98661,1,9
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",14.565632278194014,3.925246761158094,10.64038551703592,10.218551089501196,2.274901366568894,63436,2,8
"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",14.376647052021006,4.337737796828153,10.038909255192852,10.173778242352087,2.3117455588212557,24064,2,8
"[1, 0, 0, 0, 0, 0, 0, 0, 1, 1]",14.024406201159586,4.281376366439167,9.743029834720419,10.128695206784753,2.2330700527439484,34784,3,7
"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",14.620805157171475,3.937922611138842,10.682882546032634,10.233470723360368,2.207415413614148,30302,2,8
"[1, 0, 0, 0, 0, 0, 0, 1, 0, 1]",13.834631069758254,4.151301346633391,9.683329723124864,10.003503122622321,2.2432167718204123,58869,3,7
"[1, 0, 0, 0, 0, 0, 0, 1, 1, 0]",13.81650173621736,4.189014519405944,9.627487216811415,10.142999092068614,2.286152457881756,55113,3,7
"[1, 0, 0, 0, 0, 0, 0, 1, 1, 1]",12.693777315874058,4.26948541854494,8.42429189732912,9.921051919908287,2.1597059874682882,27241,4,6
"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0]",14.507838205705236,3.8870930676414956,10.62074513806374,10.105690687982612,2.2112720880475933,39446,2,8
"[1, 0, 0, 0, 0, 0, 1, 0, 0, 1]",14.057679013909938,4.239913315161038,9.8177656987489,10.16012130480883,2.0912710832464336,61334,3,7
"[1, 0, 0, 0, 0, 0, 1, 0, 1, 0]",13.858127811497955,3.871954735016926,9.986173076481029,10.04784126807663,2.2724536266579367,87159,3,7
"[1, 0, 0, 0, 0, 0, 1, 0, 1, 1]",13.099620804034247,4.585908100602204,8.513712703432043,10.045893277066819,2.2309561536429334,98474,4,6
"[1, 0, 0, 0, 0, 0, 1, 1, 0, 0]",13.758933920756983,4.1118686424862405,9.647065278270741,9.929645600736805,2.1930435485461626,69092,3,7
"[1, 0, 0, 0, 0, 0, 1, 1, 0, 1]",13.155482047890638,4.523721162855087,8.63176088503555,10.101691762594585,2.228426935849303,22265,4,6
"[1, 0, 0, 0, 0, 0, 1, 1, 1, 0]",12.821124172292972,4.13382619000772,8.687297982285251,10.09305152323184,2.152762440062556,87056,4,6
"[1, 0, 0, 0, 0, 0, 1, 1, 1, 1]",11.94089901938289,4.688980204799365,7.251918814583525,10.135418815973145,2.2213863114535375,16740,5,5
"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0]",14.464311195302495,4.059045865351373,10.40526532995112,10.069733047426569,2.383318326722017,60404,2,8
"[1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",13.921939404321467,4.224199845450417,9.69773955887105,10.152718491554463,2.181443818714432,42963,3,7
"[1, 0, 0, 0, 0, 1, 0, 0, 1, 0]",13.845322031766333,4.319859447263944,9.525462584502389,10.180326405793041,2.1976208407582036,55727,3,7
"[1, 0, 0, 0, 0, 1, 0, 0, 1, 1]",12.903668918719871,4.282841418788619,8.620827499931252,10.016670345413525,2.2244027556340984,56014,4,6
"[1, 0, 0, 0, 0, 1, 0, 1, 0, 0]",14.261277644852065,4.05808625170385,10.203191393148215,10.303536740446406,2.2194854549512923,89971,3,7
"[1, 0, 0, 0, 0, 1, 0, 1, 0, 1]",13.180957339085072,4.5579516900613415,8.623005649023732,10.192544475289473,2.3759908764882782,87977,4,6
"[1, 0, 0, 0, 0, 1, 0, 1, 1, 0]",13.126887932482923,4.34524429080526,8.781643641677663,10.23821693380302,2.228924348864634,86919,4,6
"[1, 0, 0, 0, 0, 1, 0, 1, 1, 1]",11.655423857260367,4.687760036358365,6.967663820902001,10.071004168991246,2.264108485116375,74219,5,5
"[1, 0, 0, 0, 0, 1, 1, 0, 0, 0]",13.717942974778142,4.134624642364952,9.583318332413189,10.020724688448528,2.1384713677704648,25571,3,7
"[1, 0, 0, 0, 0, 1, 1, 0, 0, 1]",12.75715555342373,4.419689764675539,8.337465788748192,10.08016662076677,2.160189025086883,52597,4,6
"[1, 0, 0, 0, 0, 1, 1, 0, 1, 0]",12.668341135324987,4.3739723690770775,8.29436876624791,9.914092138790766,2.11834720573516,66954,4,6
"[1, 0, 0, 0, 0, 1, 1, 0, 1, 1]",11.63286071539996,4.511717159264878,7.121143556135083,9.889440205580032,2.1839486206814245,78381,5,5
"[1, 0, 0, 0, 0, 1, 1, 1, 0, 0]",12.918489572048859,4.302742682384522,8.615746889664337,10.002329160700738,2.1899603674167216,5086,4,6
"[1, 0, 0, 0, 0, 1, 1, 1, 0, 1]",11.663882455476516,4.711824150268907,6.9520583052076095,9.916583526847386,2.132936285676703,90921,5,5
"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",11.9138548975634,4.682980913700048,7.2308739838633524,10.191984785373139,2.1083940782538617,16457,5,5
"[1, 0, 0, 0, 0, 1, 1, 1, 1, 1]",10.584363878411992,4.999096089872825,5.585267788539166,10.170180485747082,2.3424891607905054,20818,6,4
"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0]",14.48346148806272,4.223236672631586,10.260224815431133,10.01762092648442,2.2042621413105974,72145,2,8
"[1, 0, 0, 0, 1, 0, 0, 0, 0, 1]",13.112753808492068,4.381268799701686,8.731485008790383,10.02551497234477,2.197922848262462,20059,3,7
"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0]",13.714256892678875,4.03789629327054,9.676360599408335,10.057110388845702,2.057929831665632,35515,3,7
"[1, 0, 0, 0, 1, 0, 0, 0, 1, 1]",13.053661493784878,4.302537187467198,8.75112430631768,10.162894564324608,2.293272257800974,23054,4,6
"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0]",13.634156286816395,4.419260827423543,9.214895459392853,10.044454437716107,2.2265927966169348,93894,3,7
"[1, 0, 0, 0, 1, 0, 0, 1, 0, 1]",13.1000924334515,4.334353692394047,8.765738741057454,10.005190113484801,2.197464684276909,54743,4,6
"[1, 0, 0, 0, 1, 0, 0, 1, 1, 0]",12.963518296685656,4.491118901642117,8.472399395043539,10.07353988269436,2.032497472336603,11946,4,6
"[1, 0, 0, 0, 1, 0, 0, 1, 1, 1]",11.779562686637904,4.738340779845345,7.041221906792559,9.952219311167914,2.2536251002316656,39440,5,5
"[1, 0, 0, 0, 1, 0, 1, 0, 0, 0]",13.670002968259947,4.089513783697584,9.580489184562364,10.019336112547125,2.1283579584835355,1914,3,7
"[1, 0, 0, 0, 1, 0, 1, 0, 0, 1]",13.268576000918006,4.373442564541197,8.89513343637681,10.007309036252096,2.2455587015028535,14323,4,6
"[1, 0, 0, 0, 1, 0, 1, 0, 1, 0]",12.686320310725355,4.364278443109074,8.322041867616282,10.058951749255684,2.311792867533907,17247,4,6
"[1, 0, 0, 0, 1, 0, 1, 0, 1, 1]",11.74548235066697,4.89859001917136,6.84689233149561,10.165571122951638,2.1374454000599057,52197,5,5
"[1, 0, 0, 0, 1, 0, 1, 1, 0, 0]",12.857490932617067,4.4694443058486115,8.388046626768455,10.199803744434579,2.239264371856553,84524,4,6
