Genome,Ave_fit_x,Std_fit_x,Ave_thr_x,Std_thr_x,Seed_x,Num_Learning_x,Num_Mating_x,Ave_fit_y,Std_fit_y,Sum_fit,Ave_thr_y,Std_thr_y,Seed_y,Num_Learning_y,Num_Mating_y
"[1, 0, 0, 0, 0, 1, 1, 1, 1, 1]",0.9903441788274547,6.58401680607149,10.1203411024808,2.21039438759102,99796,6,4,1.0130294872703876,2.0925609691504734,2.446930132512411,10.214867407843872,2.253807975938583,57395,6,4
"[1, 0, 0, 1, 0, 0, 1, 1, 1, 1]",0.9935183368827014,6.44219084297539,10.1203411024808,2.21039438759102,99796,6,4,1.0359564551668254,2.0418828594892893,2.600346383621408,10.12212483554528,2.1752232282684703,87454,6,4
"[1, 0, 0, 1, 0, 1, 1, 1, 1, 0]",0.9906884849662548,6.46210905882351,10.1307405115154,2.23191928208107,17371,6,4,1.0200405647361053,1.98635309551356,2.584555377675648,10.318098629640811,2.25195357317852,33329,6,4
"[1, 0, 0, 1, 1, 0, 1, 1, 1, 0]",0.9913496425495593,6.36289272949124,10.0153239719197,2.18236653996006,15562,6,4,1.0074887325523665,1.97104092343301,2.543621476740912,10.143860181590265,2.0777599333846792,78679,6,4
"[1, 0, 0, 1, 1, 1, 0, 1, 0, 1]",0.9845944680925778,6.54708370336994,10.0895693820631,2.13887469543274,56031,6,4,1.0141482184328812,1.9567285223212407,2.587775730707037,10.114235973575392,2.1630066354120627,96851,6,4
"[1, 0, 0, 1, 1, 1, 1, 1, 0, 0]",0.9995942180215451,6.63920562225586,10.1307405115154,2.23191928208107,17371,6,4,1.0315167682215165,1.8696499285000856,2.7526846129897304,10.1681565311547,2.202340524035448,94147,6,4
"[1, 0, 1, 0, 0, 1, 1, 0, 1, 1]",0.9840553924685197,6.51315639840971,10.0396830323781,2.17378063674774,3899,6,4,1.0311693762065257,1.9458750708354688,2.674902770695801,10.040801433148742,2.221235172656548,31009,6,4
"[1, 0, 1, 0, 0, 1, 1, 1, 1, 0]",0.9874960147998499,6.50195331866786,10.0153239719197,2.18236653996006,15562,6,4,1.0048761433908504,1.960875423576608,2.542079691271435,10.013299101378772,2.311017924654439,20628,6,4
"[1, 0, 1, 0, 1, 0, 1, 0, 1, 1]",0.9951009951668304,6.45441196487235,10.0895693820631,2.13887469543274,56031,6,4,1.020608057638816,1.982563333012441,2.590888135237112,10.071524763373349,2.219184830406138,30308,6,4
"[1, 0, 1, 0, 1, 1, 0, 0, 1, 1]",0.9810825575611762,6.27095930310403,10.0396830323781,2.17378063674774,3899,6,4,1.0238992030486056,1.9680300698657829,2.620169365239379,10.267068994520915,2.2990842661851443,50348,6,4
"[1, 0, 1, 1, 0, 0, 1, 1, 1, 0]",0.9865690922719625,6.52200217582442,10.0153239719197,2.18236653996006,15562,6,4,1.010388268292943,2.0067159187155355,2.5209396044214376,10.174990021631949,2.097836300071514,36162,6,4
"[1, 0, 1, 1, 0, 1, 1, 0, 1, 0]",0.9781181787581976,6.34861028244713,10.0153239719197,2.18236653996006,15562,6,4,1.0008432980934434,2.016059296871422,2.468824216338163,9.990515856933657,2.369563556473812,12253,6,4
"[1, 0, 1, 1, 0, 1, 1, 1, 0, 0]",0.9966341482283212,6.57895393061916,10.1307405115154,2.23191928208107,17371,6,4,1.0070033827682905,1.892126756328351,2.6203607406925107,10.085931602458604,2.282706407834396,23376,6,4
"[1, 0, 1, 1, 1, 1, 0, 0, 1, 0]",0.9796658928861909,6.139626914643889,10.0153239719197,2.18236653996006,15562,6,4,1.0062346564576496,2.0121773523701325,2.49686540163918,10.020695390213405,2.227679799547084,48077,6,4
"[1, 1, 0, 0, 0, 1, 1, 1, 1, 0]",0.9997126228133462,6.44420928633697,9.9841314381085,2.11763807802344,47030,6,4,1.0057938573618705,1.9987495047367152,2.508317982414076,10.25107806756156,2.222973593521486,1422,6,4
"[1, 1, 0, 0, 1, 1, 0, 1, 0, 1]",0.9893128072958263,6.23913098053448,10.1203411024808,2.21039438759102,99796,6,4,1.0108820886133227,2.102369230381653,2.427499153267628,10.100499514441244,2.0832942142951967,22144,6,4
"[1, 1, 0, 1, 0, 0, 1, 1, 0, 1]",0.9978954786987749,6.09528222531541,10.1203411024808,2.21039438759102,99796,6,4,1.003484711372973,1.9628522723725856,2.5338676900508785,10.02165236368887,2.172281315759185,29321,6,4
