Genome,Ave_fit_x,Std_fit_x,Ave_thr_x,Std_thr_x,Seed_x,Num_Learning_x,Num_Mating_x,Ave_fit_y,Std_fit_y,Sum_fit,Ave_thr_y,Std_thr_y,Seed_y,Num_Learning_y,Num_Mating_y
"[1, 0, 0, 1, 0, 1, 0, 1, 1, 1]",1.0026066570377232,6.51382455846173,10.0895693820631,2.13887469543274,56031,6,4,0.9717832627384579,5.051379374644767,5.452422103302335,10.116799327700663,2.162753149774698,42281,6,4
"[1, 0, 0, 1, 0, 1, 1, 0, 1, 1]",1.0038319116906487,6.41064760299786,10.1203411024808,2.21039438759102,99796,6,4,0.9621546325618967,4.849877927474612,5.549849706275825,10.090067166065957,2.203878273860058,85994,6,4
"[1, 0, 0, 1, 1, 0, 0, 1, 1, 1]",1.013015529769775,6.02016668902947,10.1203411024808,2.21039438759102,99796,6,4,0.9627098162368841,4.864199765832889,5.541528731823592,10.079042486765577,2.147278294625182,33175,6,4
"[1, 0, 0, 1, 1, 0, 1, 0, 1, 1]",1.0211629520074887,6.43829163383542,10.0396830323781,2.17378063674774,3899,6,4,0.9723283350334664,5.01379748001596,5.495895570051619,10.083452835377408,2.14226567640329,61667,6,4
"[1, 0, 0, 1, 1, 0, 1, 1, 0, 1]",1.0076561338759833,5.86838406167256,10.1203411024808,2.21039438759102,99796,6,4,0.9819310312879974,4.93803374706614,5.675452832873921,10.200355742350736,2.2145516611632936,78641,6,4
"[1, 0, 0, 1, 1, 1, 0, 0, 1, 1]",1.0209966675672562,6.18845829986446,10.1203411024808,2.21039438759102,99796,6,4,0.9671705113094894,4.584721843670376,5.869221371498597,9.92200927182452,2.1476058243811216,14985,6,4
"[1, 0, 0, 1, 1, 1, 0, 1, 1, 0]",1.0111926221442957,6.28145581941498,10.1307405115154,2.23191928208107,17371,6,4,0.9667384035566793,4.994538002989228,5.454734650104196,10.279384124850118,2.1373511297639367,52321,6,4
"[1, 0, 0, 1, 1, 1, 1, 0, 0, 1]",1.0192917950475464,6.054787472966289,10.1203411024808,2.21039438759102,99796,6,4,0.9592025505961181,4.890745693685502,5.477073505227534,10.135450581984747,2.252824190021141,72119,6,4
"[1, 0, 1, 0, 0, 0, 1, 1, 1, 1]",1.0106786083397754,6.6706100861081,10.0396830323781,2.17378063674774,3899,6,4,0.9623766186070272,4.85293479015144,5.549192244204389,10.074524312205993,2.198879025478446,8776,6,4
"[1, 0, 1, 0, 1, 0, 1, 1, 1, 0]",1.0171579435806675,6.54642699337087,10.2277716273911,2.20975149813494,35414,6,4,0.9535810029209631,5.026999693930081,5.280057375151403,9.987487540017504,2.245386606252935,8842,6,4
