Genome,Ave_fit_x,Std_fit_x,Ave_thr_x,Std_thr_x,Seed_x,Num_Learning_x,Num_Mating_x,Ave_fit_y,Std_fit_y,Sum_fit,Ave_thr_y,Std_thr_y,Seed_y,Num_Learning_y,Num_Mating_y
"[1, 0, 0, 0, 0, 1, 1, 1, 1, 1]",0.9903441788274547,6.58401680607149,10.1203411024808,2.21039438759102,99796,6,4,0.9792366778227188,4.999096089872825,5.585267788539166,10.170180485747082,2.3424891607905054,20818,6,4
"[1, 0, 0, 0, 1, 0, 1, 1, 1, 1]",0.9973796123042531,6.54577981551089,10.0396830323781,2.17378063674774,3899,6,4,0.9524409764644858,4.776300430246974,5.518434331960546,10.077045974926351,2.168178592724157,13247,6,4
"[1, 0, 0, 0, 1, 1, 0, 1, 1, 1]",0.9981205740044717,6.21609524625417,10.1203411024808,2.21039438759102,99796,6,4,0.9138948286211663,4.919349979027313,4.958747555301963,10.040521932873087,2.144884112475272,76035,6,4
"[1, 0, 0, 0, 1, 1, 1, 0, 1, 1]",0.9912919271825812,6.32191369023392,10.0396830323781,2.17378063674774,3899,6,4,0.9559688696402627,4.968949088392629,5.363917931258122,10.037822359362078,2.1256612593093305,8275,6,4
"[1, 0, 0, 0, 1, 1, 1, 1, 0, 1]",0.9805007060930657,6.31463133006849,10.1203411024808,2.21039438759102,99796,6,4,0.9834275138456963,4.750377083522495,5.879284662531238,10.028300456693056,2.100915958974844,4749,6,4
"[1, 0, 0, 0, 1, 1, 1, 1, 1, 0]",0.9824703827860505,6.33766446809924,10.0153239719197,2.18236653996006,15562,6,4,0.977451719978329,5.159632540342463,5.405438103083012,9.94900256874956,2.171475977626603,44918,6,4
"[1, 0, 0, 0, 1, 1, 1, 1, 1, 1]",0.9472991727373714,7.39109779132523,10.0895693820631,2.13887469543274,56031,7,3,0.8096088262973604,4.97779263460708,3.773099372173612,10.16976604919648,2.314235056271962,84974,7,3
"[1, 0, 0, 1, 0, 0, 1, 1, 1, 1]",0.9935183368827014,6.44219084297539,10.1203411024808,2.21039438759102,99796,6,4,0.9434179460930384,5.0226862595743,5.174520459719519,9.919805581677142,2.097277597207685,83259,6,4
"[1, 0, 0, 1, 0, 1, 1, 1, 0, 1]",0.9984892634886711,6.65615471404328,10.0895693820631,2.13887469543274,56031,6,4,0.9601827368999044,4.82429620565262,5.554117621446706,10.08363545749804,2.219928514801925,70522,6,4
"[1, 0, 0, 1, 0, 1, 1, 1, 1, 0]",0.9906884849662548,6.46210905882351,10.1307405115154,2.23191928208107,17371,6,4,0.9189123707791716,4.918058487487586,5.014272607714514,10.074422944622048,2.160733466657054,64821,6,4
