Genome,Ave_fit_x,Std_fit_x,Ave_thr_x,Std_thr_x,Seed_x,Num_Learning_x,Num_Mating_x,Ave_fit_y,Std_fit_y,Sum_fit,Ave_thr_y,Std_thr_y,Seed_y,Num_Learning_y,Num_Mating_y
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.12525960199059,4.31567466409719,10.2277716273911,2.20975149813494,35414,1,9,2.009841138163347,22.50325216784806,42.147453150007294,10.099085900826688,2.2648065162671323,39256,1,9
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1.0928335954465345,4.19839384956132,10.1203411024808,2.21039438759102,99796,2,8,1.7163047310728756,20.247000254610125,34.96149821688216,9.900624928643053,2.206448159409225,54608,2,8
"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1.092537126703911,4.30756824822172,10.0153239719197,2.18236653996006,15562,2,8,1.778058406434764,21.52369487400988,35.6712385411737,10.128393490106497,2.142379292903817,95328,2,8
"[1, 0, 0, 0, 0, 0, 0, 0, 1, 1]",1.0941676213531593,4.51226819493627,10.0895693820631,2.13887469543274,56031,3,7,1.5603165141507422,19.67838927845961,30.51242493242177,10.229059567982826,2.2581995501755388,93231,3,7
"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",1.0978535382889874,4.58201026514436,10.1307405115154,2.23191928208107,17371,2,8,1.7976135379453066,21.25792931362215,36.56603543181637,9.9995648040138,2.10979512699866,45171,2,8
"[1, 0, 0, 0, 0, 0, 0, 1, 0, 1]",1.084616322440367,5.06107944104003,10.0396830323781,2.17378063674774,3899,3,7,1.55971548634217,20.71517733396476,29.45630357190957,10.2841976310215,2.2619021157257677,22095,3,7
"[1, 0, 0, 0, 0, 0, 0, 1, 1, 0]",1.117427046231238,4.94933483731457,10.2277716273911,2.20975149813494,35414,3,7,1.547160464440873,19.675342408170597,30.092280199757997,10.08385544457454,2.1830698517689613,3638,3,7
"[1, 0, 0, 0, 0, 0, 0, 1, 1, 1]",1.066631573960482,5.03988896677818,10.1203411024808,2.21039438759102,99796,4,6,1.3190197605887803,18.924195182026665,23.504808897460293,10.026695564253204,2.236072705336013,52915,4,6
"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0]",1.0877559856646877,4.1916509308235,10.0153239719197,2.18236653996006,15562,2,8,1.7355330192593608,21.11820134176236,34.70881486713043,9.965065508350476,2.287716019536244,88298,2,8
"[1, 0, 0, 0, 0, 0, 1, 0, 0, 1]",1.0982341683235477,4.48924231158766,10.0895693820631,2.13887469543274,56031,3,7,1.5840131728916498,19.83162941120711,31.12143693601784,10.150444858196876,2.156162460315704,54203,3,7
"[1, 0, 0, 0, 0, 0, 1, 0, 1, 0]",1.0906524081334876,4.54905928051654,10.1307405115154,2.23191928208107,17371,3,7,1.568594210118844,20.940613554866545,29.516469901171988,10.08790180173736,2.244839371944463,15125,3,7
"[1, 0, 0, 0, 0, 0, 1, 0, 1, 1]",1.0816311678472315,5.18417421903791,10.0396830323781,2.17378063674774,3899,4,6,1.3380457036451827,18.84770836765161,24.193304598795358,10.06930521169904,2.146734403988894,16453,4,6
"[1, 0, 0, 0, 0, 0, 1, 1, 0, 0]",1.1116241996762124,4.92971453914441,10.2277716273911,2.20975149813494,35414,3,7,1.483414606561301,19.426838482367003,28.290266502675134,10.080434333346052,2.158572122910193,11699,3,7
"[1, 0, 0, 0, 0, 0, 1, 1, 0, 1]",1.0641714099020705,4.9357249241633,10.1203411024808,2.21039438759102,99796,4,6,1.2982130650860626,18.33650280600541,23.4232107937306,10.009181844814744,2.24967616229159,10689,4,6
"[1, 0, 0, 0, 0, 0, 1, 1, 1, 0]",1.0644488597445065,5.03948135156621,10.0153239719197,2.18236653996006,15562,4,6,1.292271588896833,18.202752928097603,23.365840777150645,10.143636517701651,2.1675776277876824,79845,4,6
"[1, 0, 0, 0, 0, 0, 1, 1, 1, 1]",1.0699273390170456,5.42013439288933,10.0895693820631,2.13887469543274,56031,5,5,1.1251928021408206,16.844941376939893,19.34921690536805,10.128009013215111,2.25552074172233,26137,5,5
"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0]",1.1096695345350747,4.30495634768103,10.1307405115154,2.23191928208107,17371,2,8,1.7488804994641174,20.947364084493376,35.30900148593264,10.223804467442132,2.117832344060566,94009,2,8
"[1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",1.0779359671702688,4.6403400233514,10.0396830323781,2.17378063674774,3899,3,7,1.5289400213547812,20.27676493958818,28.90475935720914,10.182085576155258,2.1563690875508765,57169,3,7
"[1, 0, 0, 0, 0, 1, 0, 0, 1, 0]",1.1166813457612825,4.84458826702409,10.2277716273911,2.20975149813494,35414,3,7,1.5510160135300313,19.957985809117844,29.93365852533858,10.168730032087046,2.1530326474759094,51728,3,7
"[1, 0, 0, 0, 0, 1, 0, 0, 1, 1]",1.0751091559891794,5.01454170182284,10.1203411024808,2.21039438759102,99796,4,6,1.3369544130699627,18.29810692455693,24.70780241899415,10.231048049920888,2.088440026335803,21288,4,6
"[1, 0, 0, 0, 0, 1, 0, 1, 0, 0]",1.0864666606840265,4.42896467334045,10.0153239719197,2.18236653996006,15562,3,7,1.5582169585685341,19.23409964098824,30.88917801356221,10.130770442797251,2.2287421113972457,72058,3,7
"[1, 0, 0, 0, 0, 1, 0, 1, 0, 1]",1.0835967561575937,4.98946322823384,10.0895693820631,2.13887469543274,56031,4,6,1.3466098479454691,19.656714502115253,23.659781913716845,10.1399044419928,2.4870529126747827,56541,4,6
"[1, 0, 0, 0, 0, 1, 0, 1, 1, 0]",1.0806887252060482,5.13864496410624,10.1307405115154,2.23191928208107,17371,4,6,1.3224438954955884,18.50269755816261,24.03645091663259,10.032637073238108,2.2312440602973505,69971,4,6
"[1, 0, 0, 0, 0, 1, 0, 1, 1, 1]",1.0215788451959924,5.95890917082033,10.0396830323781,2.17378063674774,3899,5,5,1.1183923941706886,17.082399172272442,18.89300989480152,10.057325729981995,2.146205950878151,10339,5,5
"[1, 0, 0, 0, 0, 1, 1, 0, 0, 0]",1.109491291580263,4.91251527151891,10.2277716273911,2.20975149813494,35414,3,7,1.6139369287543213,20.692390454860337,31.223235512399505,10.369633298754486,2.214995060044108,6070,3,7
"[1, 0, 0, 0, 0, 1, 1, 0, 0, 1]",1.0695583841413103,5.01426044761431,10.1203411024808,2.21039438759102,99796,4,6,1.3381462588803839,20.05845861306535,22.985788920908217,10.1185946834453,2.2287111696033053,77424,4,6
"[1, 0, 0, 0, 0, 1, 1, 0, 1, 0]",1.0614699201955113,5.00314585898349,10.0153239719197,2.18236653996006,15562,4,6,1.301079854706529,19.85269231980272,21.99923750908781,10.030810749277236,2.176063076990913,37189,4,6
"[1, 0, 0, 0, 0, 1, 1, 0, 1, 1]",1.0709518659545936,5.37073092010825,10.0895693820631,2.13887469543274,56031,5,5,1.1183476039097169,17.085964499537152,18.888003795971237,10.141952387998373,2.132324789781211,85395,5,5
"[1, 0, 0, 0, 0, 1, 1, 1, 0, 0]",1.0758215749838178,5.29650220018029,10.1307405115154,2.23191928208107,17371,4,6,1.3568900639809698,18.763283879437097,24.883896989457007,10.172797246316891,2.2191089045457195,72449,4,6
"[1, 0, 0, 0, 0, 1, 1, 1, 0, 1]",1.0211375037703305,6.14997932741456,10.0396830323781,2.17378063674774,3899,5,5,1.1001407155353329,18.165693917172693,17.222612082596715,10.140010964152095,2.2284446111435727,25287,5,5
"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",1.0771722546434463,5.97835013414351,10.2277716273911,2.20975149813494,35414,5,5,1.125844808906336,16.988767054621547,19.22636437649013,10.1318210820485,2.224818782468694,63100,5,5
"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0]",1.088859459767047,4.09692938725122,10.0153239719197,2.18236653996006,15562,2,8,1.784468418590647,21.62920533380776,35.77191940620489,9.91137457826478,2.249719874602901,27065,2,8
"[1, 0, 0, 0, 1, 0, 0, 0, 0, 1]",1.0936031337266368,4.72040841185784,10.0895693820631,2.13887469543274,56031,3,7,1.5629168613842364,21.302718042398244,28.971741726096884,10.009501555396405,2.2501191069622863,75623,3,7
"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0]",1.0970192868662207,4.56897782478129,10.1307405115154,2.23191928208107,17371,3,7,1.4988670330592715,20.67595735519348,27.538206951103792,10.043666625854966,2.27537692137974,33358,3,7
