Genome,Ave_fit_x,Std_fit_x,Ave_thr_x,Std_thr_x,Seed_x,Num_Learning_x,Num_Mating_x,Ave_fit_y,Std_fit_y,Sum_fit,Ave_thr_y,Std_thr_y,Seed_y,Num_Learning_y,Num_Mating_y
"[1, 0, 0, 0, 0, 1, 1, 1, 1, 1]",0.9903441788274547,6.58401680607149,10.1203411024808,2.21039438759102,99796,6,4,0.8723802512335982,15.15845403640603,12.903464628051196,10.132279767851436,2.144079457395611,37119,6,4
"[1, 0, 0, 0, 1, 0, 1, 1, 1, 1]",0.9973796123042531,6.54577981551089,10.0396830323781,2.17378063674774,3899,6,4,0.9012388100938818,15.79923136798524,13.19098264745636,10.131871615681195,2.0582914824600587,64954,6,4
"[1, 0, 0, 0, 1, 1, 0, 1, 1, 1]",0.9981205740044717,6.21609524625417,10.1203411024808,2.21039438759102,99796,6,4,0.9041475434426894,16.816216884711583,12.267562566829024,10.1824863591811,2.2280624359086127,2192,6,4
"[1, 0, 0, 0, 1, 1, 1, 0, 1, 1]",0.9912919271825812,6.32191369023392,10.0396830323781,2.17378063674774,3899,6,4,0.8657599004428872,16.09787070181995,11.75109065972217,10.1458902369577,2.338395047137986,1637,6,4
"[1, 0, 0, 0, 1, 1, 1, 1, 0, 1]",0.9805007060930657,6.31463133006849,10.1203411024808,2.21039438759102,99796,6,4,0.8582427847800167,15.672453025150832,11.934704732946,10.059690558629526,2.146411136801893,9663,6,4
"[1, 0, 0, 0, 1, 1, 1, 1, 1, 0]",0.9824703827860505,6.33766446809924,10.0153239719197,2.18236653996006,15562,6,4,0.8597611755483766,15.7886550731875,11.86734487062173,9.971234409269371,2.316417388349559,38493,6,4
"[1, 0, 0, 0, 1, 1, 1, 1, 1, 1]",0.9472991727373714,7.39109779132523,10.0895693820631,2.13887469543274,56031,7,3,0.6921796579622971,14.110519549639791,8.154873592242149,10.204311174568296,2.240519983698616,7547,7,3
"[1, 0, 0, 1, 0, 0, 1, 1, 1, 1]",0.9935183368827014,6.44219084297539,10.1203411024808,2.21039438759102,99796,6,4,0.8690808809808784,16.316900137799973,11.638887445004697,10.123057776184517,2.3459396103507983,31849,6,4
"[1, 0, 0, 1, 0, 1, 1, 1, 0, 1]",0.9984892634886711,6.65615471404328,10.0895693820631,2.13887469543274,56031,6,4,0.9021015581303665,16.018907119026665,12.999058974930604,10.075802807183432,2.2625197310684864,58636,6,4
"[1, 0, 0, 1, 0, 1, 1, 1, 1, 0]",0.9906884849662548,6.46210905882351,10.1307405115154,2.23191928208107,17371,6,4,0.9186412127708858,16.243595417616273,13.30640294392632,10.158006486411482,2.177468772375673,27279,6,4
