Genome,Ave_fit_x,Std_fit_x,Ave_thr_x,Std_thr_x,Seed_x,Num_Learning_x,Num_Mating_x,Ave_fit_y,Std_fit_y,Sum_fit,Ave_thr_y,Std_thr_y,Seed_y,Num_Learning_y,Num_Mating_y
"[1, 0, 0, 0, 1, 0, 1, 1, 1, 1]",1.0520820935460122,6.89748338399727,10.2510780675616,2.22297359352149,1422,6,4,0.9980556335358108,2.0299083493544403,2.4424833473652887,10.064978065124896,2.1048325416901794,65204,6,4
"[1, 0, 0, 0, 1, 1, 0, 1, 1, 1]",1.0263552807096716,6.72270799911614,10.0716587235246,2.22596956830217,8861,6,4,0.9541236471861777,2.089784299883346,2.18574357044383,9.775805484015851,2.225871365778033,63840,6,4
"[1, 0, 0, 0, 1, 1, 1, 0, 1, 1]",1.0385665297468571,6.7789247604655,10.0564938393737,2.25725691788994,67059,6,4,0.9774536386823511,2.0422637016384235,2.337808301045763,9.990738845331723,2.2259068953150662,4666,6,4
"[1, 0, 0, 0, 1, 1, 1, 1, 0, 1]",1.0079287986075374,6.38305247045337,10.0368840796996,2.23872294914807,86884,6,4,0.9883360453977617,2.058855644630957,2.369981560912618,10.022445892660622,2.1974339812357293,57902,6,4
"[1, 0, 0, 0, 1, 1, 1, 1, 1, 0]",1.025284037824544,6.72457830811399,10.0512423300262,2.14013799626133,47864,6,4,0.9690502773033599,2.0575292970692,2.284886364231701,9.96594803375176,2.148820047001163,83114,6,4
"[1, 0, 0, 1, 0, 1, 1, 1, 0, 1]",1.0363099883632398,6.58902424608363,10.2560307647366,2.31009821178893,70748,6,4,0.9585177043699328,2.0857528991099907,2.2094652011033857,9.944649348928094,2.1887626096131307,98077,6,4
"[1, 0, 0, 1, 1, 0, 1, 0, 1, 1]",1.0395458092476553,6.45111914419054,10.179321746082,2.07847729815967,82651,6,4,0.9812765258856317,1.97532894081748,2.4218738193224576,9.982487294533207,2.223571142206918,14770,6,4
"[1, 0, 0, 1, 1, 1, 0, 1, 1, 0]",1.0654678289507429,6.26192399179141,10.1300793418547,2.11465411550538,32138,6,4,0.9835723381575351,2.090582808896001,2.3169077261906224,10.170126152936245,2.1636287131363763,98418,6,4
"[1, 0, 0, 1, 1, 1, 0, 1, 1, 1]",1.0015574342504454,7.44655481161079,10.065711394316,2.20587647072696,14910,7,3,0.9053274361972363,2.1601038274260347,1.896763117071604,10.174677545901307,2.179788061377372,86898,7,3
"[1, 0, 0, 1, 1, 1, 1, 0, 0, 1]",1.0132844241548917,6.67644654603866,10.1280020957206,2.24290047164363,43085,6,4,0.9738849399185492,2.0657151426981777,2.298365147517257,10.10785254983888,2.2148623915875354,78823,6,4
"[1, 0, 0, 1, 1, 1, 1, 1, 1, 0]",1.000014306880585,7.31463375901322,10.0237105016087,2.24878019264919,89398,7,3,0.8744772529328745,2.113265839164224,1.8053582070041787,10.03406533842441,2.1994471971996257,51948,7,3
"[1, 0, 1, 0, 0, 1, 1, 1, 0, 1]",1.0503322687163128,6.4576121553018,10.1049861003835,2.28198758727467,68497,6,4,0.9920764774711146,1.941728058233592,2.503870414703208,10.06402771403224,2.310193303612722,13298,6,4
"[1, 0, 1, 0, 1, 0, 1, 1, 0, 1]",1.0127468803933006,6.90090620138211,10.090674998097,2.27216381405306,63481,6,4,0.9930791444041571,2.063738294963449,2.38635323338553,9.971234409269371,2.316417388349559,38493,6,4
"[1, 0, 1, 0, 1, 1, 0, 1, 0, 1]",1.0091437002077213,6.2453285841842,10.0172406096277,2.36133096150128,70599,6,4,0.9755858329032212,2.013574719899457,2.3581274497043103,9.936419561120772,2.1602176917106317,38773,6,4
"[1, 0, 1, 0, 1, 1, 0, 1, 1, 0]",1.0180858053339508,6.34369453138023,10.0847479398419,2.27864002461393,8986,6,4,0.9769174928038584,2.0047844271379205,2.3728850497805363,10.16704868521936,2.1742311059473614,14717,6,4
