Genome,Ave_fit_x,Std_fit_x,Ave_thr_x,Std_thr_x,Seed_x,Num_Learning_x,Num_Mating_x,Ave_fit_y,Std_fit_y,Sum_fit,Ave_thr_y,Std_thr_y,Seed_y,Num_Learning_y,Num_Mating_y
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.9473978245011012,4.3784613128188,10.1648669710357,2.28226426763027,26867,1,9,1.2479061594170155,1.658302379125514,3.933695659991624,10.182321890565357,2.2232470434709573,20553,1,9
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",0.9686920971679082,4.85953339453709,10.1018349776708,2.05334727540101,4450,2,8,1.2023532220928927,1.665564809198082,3.7223057526482304,9.964759008464902,2.1927131977644923,40700,2,8
"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",0.9521535235038221,4.61130361159021,10.0063106023831,2.0709767482742,68454,2,8,1.2143423065076866,1.632894357183632,3.808700546058396,10.214023886786912,2.201892466866555,97076,2,8
"[1, 0, 0, 0, 0, 0, 0, 0, 1, 1]",0.9874641972210279,5.06054294037796,10.0206953902134,2.22767979954708,48077,3,7,1.187664937660258,1.6107636456878096,3.71128717712968,10.109312946195606,2.2623478774807784,31244,3,7
"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",0.9446474350207447,4.39476548965321,9.87681916271124,2.09531965098965,87801,2,8,1.2182665550816836,1.6270423069197364,3.832137564683255,10.02715647440182,2.227403423646369,47352,2,8
"[1, 0, 0, 0, 0, 0, 0, 1, 0, 1]",0.9904721896722837,4.76219824570436,10.195891851125,2.18526065834011,60345,3,7,1.1734421722308412,1.6059826434732032,3.652334479665075,10.005208138234565,2.259825821759116,88792,3,7
"[1, 0, 0, 0, 0, 0, 0, 1, 1, 0]",0.9776649383158758,5.22433343563325,10.074514626575,2.21286417717416,67780,3,7,1.1655269753076811,1.5624032092187836,3.660445088527837,10.021780628698489,2.1546080028283576,89878,3,7
"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0]",0.9815023769747171,4.92970280614187,10.1594616114143,2.2555535994384,58082,2,8,1.2250483100736684,1.567281914181908,3.922287710954049,10.17803180400768,2.222719458805316,92474,2,8
"[1, 0, 0, 0, 0, 0, 1, 0, 0, 1]",0.9797532200890292,5.21305952412057,10.0838946513895,2.32947976647301,72037,3,7,1.1660793904689541,1.5791099427700372,3.6462137851003193,9.84416815249392,2.283226243639088,92144,3,7
"[1, 0, 0, 0, 0, 0, 1, 0, 1, 0]",0.9794340400050386,5.13617406784193,10.0551072555299,2.18064648984887,46840,3,7,1.1933455104532202,1.60160417642877,3.745901887297336,10.155879386776618,2.184679661457606,36234,3,7
"[1, 0, 0, 0, 0, 0, 1, 1, 0, 0]",0.9470172110058609,4.80229736296345,10.0277502795489,2.14697834297077,98065,3,7,1.191942346810867,1.5666306072559817,3.774587733409069,10.070962116141898,2.2226649308894904,64483,3,7
"[1, 0, 0, 0, 0, 0, 1, 1, 0, 1]",0.9730466099093922,5.08497625841894,10.0410177410194,2.24853955110588,64893,4,6,1.1447457312409224,1.701892747078712,3.427832622156987,10.039278511557931,2.1808754598262303,71377,4,6
"[1, 0, 0, 0, 0, 0, 1, 1, 1, 0]",0.9657520463678783,5.48449429775255,10.006236753392,2.12325080888515,13968,4,6,1.1451624788330264,1.8176032026605216,3.313989656129792,9.998227606360867,2.192414979175501,38473,4,6
"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0]",0.9512776317676133,4.70360731193533,10.0389328852609,2.02803818584825,86216,2,8,1.203502912897046,1.6530043721024938,3.74001807450206,10.234886107428649,2.182814498132434,33558,2,8
"[1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",0.9674642233331079,4.56426413010646,10.0317924339094,2.15257561021849,5072,3,7,1.1763060650881116,1.6261833732054125,3.6449671534073538,10.118072084254788,2.176065030593239,52153,3,7
"[1, 0, 0, 0, 0, 1, 0, 0, 1, 0]",0.9819961273823864,5.3357825514993,10.0617273688231,2.25813096046829,1325,3,7,1.177157262740918,1.7192014718772946,3.5557633604582817,10.00450982845394,2.2881066366555127,41538,3,7
"[1, 0, 0, 0, 0, 1, 0, 1, 0, 0]",0.9710221332197134,5.30104001648104,10.1212437483212,2.25255055197564,73895,3,7,1.1952259257874673,1.6412852587436173,3.714647142798425,10.083637892472712,2.160371622732956,56746,3,7
"[1, 0, 0, 0, 0, 1, 0, 1, 1, 0]",0.9884516682760733,5.20756705537748,10.0496920313669,2.16741543341376,92703,4,6,1.1534621143424648,1.7986992914951594,3.370085102206601,9.991884131097017,2.194001405168799,15048,4,6
"[1, 0, 0, 0, 0, 1, 1, 0, 0, 0]",0.9802725102294353,5.01413710579898,10.1321561983992,2.27812099071804,15984,3,7,1.1531022670191355,1.694346379029961,3.472825501173685,10.064616837787469,2.113287408275285,97402,3,7
"[1, 0, 0, 0, 0, 1, 1, 0, 1, 1]",0.9917908337020667,5.808361261323769,10.0025346255244,2.08125406590758,68030,5,5,1.0986067047875607,1.7904095127283814,3.132562052539792,10.105923595852158,2.2467746397504365,33229,5,5
"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0.9856685893165809,4.35259650083656,10.2087116338267,2.24970658350557,48327,2,8,1.1858414736241059,1.5703548253904545,3.7435248643353214,9.971237365295808,2.213255614139714,44188,2,8
"[1, 0, 0, 0, 1, 0, 0, 0, 0, 1]",0.9986458422254871,5.04987073133238,9.89286817421495,2.16889437777969,80129,3,7,1.1956471286903063,1.6103697525775045,3.74745010323261,10.110750686524849,2.2462853579242914,8705,3,7
"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0]",0.9758841822295639,4.81748220319132,10.1698892823381,2.16193426107213,3678,3,7,1.1588380756807175,1.569582611804002,3.623292027013563,10.07675572097384,2.1851438281181155,34935,3,7
"[1, 0, 0, 0, 1, 0, 0, 1, 1, 0]",0.9758496857613845,5.6199968964828,10.1020908153727,2.20131192702841,74486,4,6,1.113749230656418,1.7657466724909787,3.225080135198219,9.770511077702366,2.1888131355726324,14776,4,6
"[1, 0, 0, 0, 1, 0, 1, 0, 0, 0]",0.9721648101538396,4.81910905728175,10.1552329409869,2.16268114821161,73912,3,7,1.1788672171532208,1.68904494152605,3.5935823754029546,10.058635625565527,2.267376858701101,73199,3,7
"[1, 0, 0, 0, 1, 0, 1, 0, 1, 0]",0.9912170340996368,4.92599920610901,10.2352587263867,2.11762823063411,70019,4,6,1.1271340539194332,1.7301868458977523,3.320618754969032,9.9771837648418,2.2433030513090264,77457,4,6
"[1, 0, 0, 0, 1, 0, 1, 1, 0, 1]",0.9600826731742896,5.79812982732593,9.93388871637989,2.18591042661314,77715,5,5,1.0964299463514566,2.022135371326044,2.8910819116874347,10.20440480400868,2.2219324698983005,16738,5,5
"[1, 0, 0, 0, 1, 1, 0, 0, 0, 0]",0.9811202505090677,5.24744728398596,10.11281309813,2.24289354971438,15939,3,7,1.179880797888264,1.6897936082957208,3.597375669933881,10.138097722745146,2.19891203360658,99842,3,7
"[1, 0, 0, 0, 1, 1, 0, 0, 0, 1]",0.9811988761881801,5.42145165389404,9.98391868226384,2.19380708192144,88499,4,6,1.1435777032721923,1.6626349532613949,3.461856360463411,10.028171572254696,2.227764360524513,66523,4,6
"[1, 0, 0, 0, 1, 1, 0, 0, 1, 0]",0.9719327935724599,5.20303174306679,9.94676547348871,2.22662350489554,73887,4,6,1.1571767225906682,1.8210871654250609,3.364342776408095,10.097816827985149,2.196624732996152,85867,4,6
