Genome,Ave_fit_x,Std_fit_x,Ave_thr_x,Std_thr_x,Seed_x,Num_Learning_x,Num_Mating_x,Ave_fit_y,Std_fit_y,Sum_fit,Ave_thr_y,Std_thr_y,Seed_y,Num_Learning_y,Num_Mating_y
"[1, 0, 0, 0, 1, 1, 1, 1, 1, 1]",0.939698266444599,7.44565789505557,10.0345636531869,2.02575699862356,71482,7,3,0.7126149987403145,8.707214823703989,5.34010331959507,10.030073874594718,2.231946478904009,70615,7,3
"[1, 0, 0, 1, 0, 1, 0, 1, 1, 1]",0.9894214571993168,6.72133239140631,9.96126018848574,2.16822933197454,1512,6,4,0.9452896956771794,9.103105879899656,9.530777937073774,9.98159733390766,2.3113792996344227,35507,6,4
"[1, 0, 0, 1, 0, 1, 1, 0, 1, 1]",0.9892716035259922,6.40187230038136,10.0365572266535,2.17054941650361,83943,6,4,0.9237388676170543,9.32161866127972,8.887447633543252,10.11149406843104,2.246736125435301,24752,6,4
"[1, 0, 0, 1, 0, 1, 1, 1, 1, 0]",0.9639876649630196,6.44571964540801,10.0216523636889,2.17228131575919,29321,6,4,0.9379124029341196,9.167349899963815,9.321110121017108,10.06971329414722,2.1608237399381403,45905,6,4
"[1, 0, 0, 1, 0, 1, 1, 1, 1, 1]",0.9915433680364024,7.66239654097947,10.0785580840144,2.24110809373279,16596,7,3,0.712130786892063,8.823930711004207,5.213842477595378,10.088889171967264,2.1494314561770587,36757,7,3
"[1, 0, 0, 1, 1, 0, 1, 1, 0, 1]",0.9899214663721766,6.82646371909842,10.1496632061008,2.03817878463126,53884,6,4,0.9191222996462203,9.490234523364348,8.627828355685581,10.243806087360444,2.2682606402905456,52314,6,4
"[1, 0, 0, 1, 1, 0, 1, 1, 1, 1]",0.9548387563788675,7.44454731341686,9.93311224652541,2.13542635110061,53503,7,3,0.703693716676578,9.009604056256048,4.861854629107182,10.210076551554716,2.2826431279067085,65657,7,3
"[1, 0, 0, 1, 1, 1, 0, 0, 1, 1]",0.9916157140121391,6.73104604516463,10.1784019923958,2.14179550348282,89632,6,4,0.9364793593437721,9.138561848314346,9.321649512082097,10.339453364511357,2.230726078679842,70770,6,4
"[1, 0, 0, 1, 1, 1, 1, 0, 1, 0]",0.9965725981896837,6.56121444455878,10.0873843598276,2.24156405753551,42641,6,4,0.9354183340880916,9.38907680107136,9.050219255337703,10.15557912809058,2.195783664937526,67568,6,4
"[1, 0, 0, 1, 1, 1, 1, 0, 1, 1]",0.9472145039767125,7.54513970495407,10.1290355286038,2.25011512328612,56001,7,3,0.7269669426988327,8.875683004064916,5.454545719444331,10.04905058999262,2.353095353150975,82258,7,3
"[1, 0, 0, 1, 1, 1, 1, 1, 0, 1]",0.9856882507728393,7.30481577131074,9.90678531432385,2.12171681009181,43636,7,3,0.7575850519607447,8.495485665619535,6.438298024468661,10.067091123611906,2.1980036403515792,997,7,3
"[1, 0, 0, 1, 1, 1, 1, 1, 1, 1]",0.8760026439506171,8.44357340996585,10.0509004312974,2.16684677803625,8330,8,2,0.5006630483727482,8.359434847286359,1.5098117101367483,9.996009540036194,2.1641809679347768,92255,8,2
"[1, 0, 1, 0, 0, 0, 1, 1, 1, 1]",0.9759590271860795,6.21869412619782,10.0704484835268,2.20235579482717,11679,6,4,0.9524602480024479,9.013093273588916,9.762138999359022,10.074695312951452,2.2221794285141434,49119,6,4
"[1, 0, 1, 0, 0, 1, 0, 1, 1, 1]",0.9879126982730879,6.29895801850611,10.105610567165,2.2147296619249,30545,6,4,0.9169084874333151,9.499872769409016,8.574550662647558,9.926464510413028,2.158653865809062,39126,6,4
"[1, 0, 1, 0, 0, 1, 1, 1, 1, 1]",0.9759884066905544,7.8355538038903,10.178656314717,2.19342286230804,29145,7,3,0.7521842577940769,9.338685891471483,5.488635439531141,10.121911205403228,2.233173615488005,630,7,3
"[1, 0, 1, 0, 1, 0, 0, 1, 1, 1]",0.9662935649088281,6.22013684852392,10.0282461099816,2.22112804640024,12943,6,4,0.9086289045782433,9.20523879706277,8.705974578140395,10.0677593596423,2.144570141103366,47296,6,4
"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1]",0.932072324028092,7.7940237573042,10.0697132941472,2.16082373993814,45905,7,3,0.7206842471495364,8.766533976989274,5.4398480363967465,10.1018301360907,2.212466430103195,87967,7,3
"[1, 0, 1, 0, 1, 1, 0, 1, 1, 1]",0.9732012706503828,7.390001597352,10.1074209356793,2.12981859060975,66472,7,3,0.7507627962770623,8.945117527173279,5.854183453158568,10.094766415865935,2.1574007574470646,80960,7,3
"[1, 0, 1, 0, 1, 1, 1, 0, 1, 1]",0.9951870154632533,7.89633539117444,10.1288549668708,2.2695270402142,10378,7,3,0.7068016171949018,8.80921541063687,5.12350730567686,10.074422944622048,2.160733466657054,64821,7,3
"[1, 0, 1, 0, 1, 1, 1, 1, 1, 0]",0.9630103661139261,7.620255637700419,10.2438060873604,2.26826064029055,52314,7,3,0.7225219579844419,8.448853084739557,5.793754532652748,10.008720976733173,2.296374408112889,533,7,3
"[1, 0, 1, 0, 1, 1, 1, 1, 1, 1]",0.8972996824071098,8.176964272352,10.0005492450078,2.28510625673442,64572,8,2,0.5135529000560056,7.8077187559794785,2.315617103148937,9.993116077621522,2.146659116134395,54663,8,2
"[1, 0, 1, 1, 0, 0, 0, 1, 1, 1]",0.9945504931080242,6.80177065566364,10.0280082615025,2.22211555015915,81801,6,4,0.9365738764922981,9.115115123542983,9.34695939221461,9.993593893150353,2.0772848530006933,26104,6,4
"[1, 0, 1, 1, 0, 0, 1, 1, 0, 1]",0.9882805055467493,6.46827609898874,10.0434717912528,2.16058352073553,38553,6,4,0.9200034058859747,9.485050858201877,8.650380697748982,10.154917471975184,2.1559369400165536,8774,6,4
"[1, 0, 1, 1, 0, 0, 1, 1, 1, 0]",0.9905448498036582,6.4810285927369,10.0670911236119,2.19800364035158,997,6,4,0.918565016733984,9.404867659225983,8.702209862544287,10.16782825350856,2.289187764497441,99382,6,4
"[1, 0, 1, 1, 0, 1, 0, 0, 1, 1]",0.9888364285331676,6.30373778768558,10.0464973353852,2.19551930702832,3395,6,4,0.9545042614344346,9.491640674248943,9.32388391224705,10.279384124850118,2.1373511297639367,52321,6,4
"[1, 0, 1, 1, 0, 1, 0, 1, 1, 1]",0.9474110928925406,7.16829796467833,10.1552842368335,2.24722457360527,34268,7,3,0.713015837775998,8.91668230856881,5.138537315148783,9.987487540017504,2.245386606252935,8842,7,3
"[1, 0, 1, 1, 0, 1, 1, 0, 0, 1]",0.9870274131705713,6.06501127662787,9.93231545481819,2.20475145959596,90487,6,4,0.9160321945314649,9.306260773399645,8.750888863970081,10.000165108721276,2.311847316975977,46149,6,4
"[1, 0, 1, 1, 0, 1, 1, 0, 1, 1]",0.9842463747080357,7.71568883944673,10.2424557450922,2.29865952864777,91351,7,3,0.7114068867701727,9.3116548381413,4.711848575988,10.17166655470864,2.220420875705642,40586,7,3
"[1, 0, 1, 1, 0, 1, 1, 1, 0, 0]",0.9961446592240758,6.32657272604937,9.99494375166767,2.22374795140804,69350,6,4,0.9398633811334528,9.537117815685862,8.989800575530209,10.005929439858024,2.2769563152387966,52854,6,4
"[1, 0, 1, 1, 0, 1, 1, 1, 0, 1]",0.9907584840406972,7.40856802088579,10.1481932638225,2.16426377033031,62805,7,3,0.7205368894439254,9.22176765794609,4.981709588384447,10.183638915360328,2.113917009870203,19356,7,3
"[1, 0, 1, 1, 0, 1, 1, 1, 1, 0]",0.9527912695606384,7.23209298293382,9.96278968466998,2.24871364961157,87477,7,3,0.7109588042688186,9.333435244822113,4.681235409033979,10.079042486765577,2.147278294625182,33175,7,3
"[1, 0, 1, 1, 0, 1, 1, 1, 1, 1]",0.9139859683427008,7.97537933290783,10.1888757653732,2.3252063900289,64255,8,2,0.49500404418489663,8.167224597995087,1.590469673352743,10.040396150653274,2.1470732142793443,13552,8,2
"[1, 0, 1, 1, 1, 0, 0, 1, 1, 1]",0.9220747476548391,7.05016044342239,9.85648510243907,2.1584822373552,73544,7,3,0.7273726676149996,8.988949132907475,5.349277383219292,10.154917471975184,2.1559369400165536,8774,7,3
