Genome,Ave_fit_x,Std_fit_x,Ave_thr_x,Std_thr_x,Seed_x,Num_Learning_x,Num_Mating_x,Ave_fit_y,Std_fit_y,Sum_fit,Ave_thr_y,Std_thr_y,Seed_y,Num_Learning_y,Num_Mating_y
"[1, 0, 0, 0, 0, 0, 0, 1, 1, 1]",1.074934240990157,5.75848623219864,10.0346940594501,2.08812157035675,38526,4,6,1.3190197605887803,18.924195182026665,23.504808897460293,10.026695564253204,2.236072705336013,52915,4,6
"[1, 0, 0, 0, 0, 0, 1, 0, 1, 1]",1.0518291331192142,5.67385454918001,10.1860317107945,2.2707097933352,41103,4,6,1.3380457036451827,18.84770836765161,24.193304598795358,10.06930521169904,2.146734403988894,16453,4,6
"[1, 0, 0, 0, 0, 0, 1, 1, 1, 1]",1.034876295683746,5.99388606853761,10.0464541499459,2.32456184802313,44091,5,5,1.1251928021408206,16.844941376939893,19.34921690536805,10.128009013215111,2.25552074172233,26137,5,5
"[1, 0, 0, 0, 0, 1, 0, 0, 1, 1]",1.0413287688766728,5.29794944836933,10.1788778165998,2.1947438504974,56439,4,6,1.3369544130699627,18.29810692455693,24.70780241899415,10.231048049920888,2.088440026335803,21288,4,6
"[1, 0, 0, 0, 0, 1, 0, 1, 0, 1]",1.0103793840433584,5.82132853508402,10.2484061439163,2.30997052659659,48634,4,6,1.3466098479454691,19.656714502115253,23.659781913716845,10.1399044419928,2.4870529126747827,56541,4,6
"[1, 0, 0, 0, 0, 1, 0, 1, 1, 1]",1.0354327546761606,6.37286900656085,10.1504650088745,2.13896125758396,84155,5,5,1.1183923941706886,17.082399172272442,18.89300989480152,10.057325729981995,2.146205950878151,10339,5,5
"[1, 0, 0, 0, 0, 1, 1, 0, 0, 1]",1.0258496582277241,5.13987697705483,10.2069827748945,2.18457610260773,72216,4,6,1.3381462588803839,20.05845861306535,22.985788920908217,10.1185946834453,2.2287111696033053,77424,4,6
"[1, 0, 0, 0, 0, 1, 1, 0, 1, 0]",1.0353380038048101,5.46240344311247,9.98184102757607,2.22818391488818,83194,4,6,1.301079854706529,19.85269231980272,21.99923750908781,10.030810749277236,2.176063076990913,37189,4,6
"[1, 0, 0, 0, 0, 1, 1, 1, 0, 0]",1.027907126367814,5.1942002227051,10.1382117599744,2.10612757735233,45400,4,6,1.3568900639809698,18.763283879437097,24.883896989457007,10.172797246316891,2.2191089045457195,72449,4,6
"[1, 0, 0, 0, 0, 1, 1, 1, 0, 1]",1.0463918669162553,5.91054968029327,10.2465789636694,2.19959578482182,15168,5,5,1.1001407155353329,18.165693917172693,17.222612082596715,10.140010964152095,2.2284446111435727,25287,5,5
"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",1.0123857602837427,6.47971779217163,10.115400632258,2.16602953989606,58657,5,5,1.125844808906336,16.988767054621547,19.22636437649013,10.1318210820485,2.224818782468694,63100,5,5
"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0]",1.0105195194065988,4.94994341816605,10.0862185301794,2.18636275777091,675,3,7,1.4988670330592715,20.67595735519348,27.538206951103792,10.043666625854966,2.27537692137974,33358,3,7
"[1, 0, 0, 0, 1, 0, 0, 0, 1, 1]",1.012706716725043,5.47057381523552,9.99096168866015,2.12739059720289,99969,4,6,1.3433638526392278,19.279285268261383,23.9327969816836,10.067687095261384,2.217876670846334,32587,4,6
