Genome,Ave_fit_x,Std_fit_x,Ave_thr_x,Std_thr_x,Seed_x,Num_Learning_x,Num_Mating_x,Ave_fit_y,Std_fit_y,Sum_fit,Ave_thr_y,Std_thr_y,Seed_y,Num_Learning_y,Num_Mating_y
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.9473978245011012,4.3784613128188,10.1648669710357,2.28226426763027,26867,1,9,2.009841138163347,22.50325216784806,42.147453150007294,10.099085900826688,2.2648065162671323,39256,1,9
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",0.9686920971679082,4.85953339453709,10.1018349776708,2.05334727540101,4450,2,8,1.7163047310728756,20.247000254610125,34.96149821688216,9.900624928643053,2.206448159409225,54608,2,8
"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",0.9521535235038221,4.61130361159021,10.0063106023831,2.0709767482742,68454,2,8,1.778058406434764,21.52369487400988,35.6712385411737,10.128393490106497,2.142379292903817,95328,2,8
"[1, 0, 0, 0, 0, 0, 0, 0, 1, 1]",0.9874641972210279,5.06054294037796,10.0206953902134,2.22767979954708,48077,3,7,1.5603165141507422,19.67838927845961,30.51242493242177,10.229059567982826,2.2581995501755388,93231,3,7
"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",0.9446474350207447,4.39476548965321,9.87681916271124,2.09531965098965,87801,2,8,1.7976135379453066,21.25792931362215,36.56603543181637,9.9995648040138,2.10979512699866,45171,2,8
"[1, 0, 0, 0, 0, 0, 0, 1, 0, 1]",0.9904721896722837,4.76219824570436,10.195891851125,2.18526065834011,60345,3,7,1.55971548634217,20.71517733396476,29.45630357190957,10.2841976310215,2.2619021157257677,22095,3,7
"[1, 0, 0, 0, 0, 0, 0, 1, 1, 0]",0.9776649383158758,5.22433343563325,10.074514626575,2.21286417717416,67780,3,7,1.547160464440873,19.675342408170597,30.092280199757997,10.08385544457454,2.1830698517689613,3638,3,7
"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0]",0.9815023769747171,4.92970280614187,10.1594616114143,2.2555535994384,58082,2,8,1.7355330192593608,21.11820134176236,34.70881486713043,9.965065508350476,2.287716019536244,88298,2,8
"[1, 0, 0, 0, 0, 0, 1, 0, 0, 1]",0.9797532200890292,5.21305952412057,10.0838946513895,2.32947976647301,72037,3,7,1.5840131728916498,19.83162941120711,31.12143693601784,10.150444858196876,2.156162460315704,54203,3,7
"[1, 0, 0, 0, 0, 0, 1, 0, 1, 0]",0.9794340400050386,5.13617406784193,10.0551072555299,2.18064648984887,46840,3,7,1.568594210118844,20.940613554866545,29.516469901171988,10.08790180173736,2.244839371944463,15125,3,7
"[1, 0, 0, 0, 0, 0, 1, 1, 0, 0]",0.9470172110058609,4.80229736296345,10.0277502795489,2.14697834297077,98065,3,7,1.483414606561301,19.426838482367003,28.290266502675134,10.080434333346052,2.158572122910193,11699,3,7
"[1, 0, 0, 0, 0, 0, 1, 1, 0, 1]",0.9730466099093922,5.08497625841894,10.0410177410194,2.24853955110588,64893,4,6,1.2982130650860626,18.33650280600541,23.4232107937306,10.009181844814744,2.24967616229159,10689,4,6
"[1, 0, 0, 0, 0, 0, 1, 1, 1, 0]",0.9657520463678783,5.48449429775255,10.006236753392,2.12325080888515,13968,4,6,1.292271588896833,18.202752928097603,23.365840777150645,10.143636517701651,2.1675776277876824,79845,4,6
"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0]",0.9512776317676133,4.70360731193533,10.0389328852609,2.02803818584825,86216,2,8,1.7488804994641174,20.947364084493376,35.30900148593264,10.223804467442132,2.117832344060566,94009,2,8
"[1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",0.9674642233331079,4.56426413010646,10.0317924339094,2.15257561021849,5072,3,7,1.5289400213547812,20.27676493958818,28.90475935720914,10.182085576155258,2.1563690875508765,57169,3,7
"[1, 0, 0, 0, 0, 1, 0, 0, 1, 0]",0.9819961273823864,5.3357825514993,10.0617273688231,2.25813096046829,1325,3,7,1.5510160135300313,19.957985809117844,29.93365852533858,10.168730032087046,2.1530326474759094,51728,3,7
