Genome,Ave_fit_x,Std_fit_x,Ave_thr_x,Std_thr_x,Seed_x,Num_Learning_x,Num_Mating_x,Ave_fit_y,Std_fit_y,Sum_fit,Ave_thr_y,Std_thr_y,Seed_y,Num_Learning_y,Num_Mating_y
"[1, 0, 0, 0, 1, 1, 1, 1, 1, 1]",0.939698266444599,7.44565789505557,10.0345636531869,2.02575699862356,71482,7,3,0.6921796579622971,14.110519549639791,8.154873592242149,10.204311174568296,2.240519983698616,7547,7,3
"[1, 0, 0, 1, 0, 1, 0, 1, 1, 1]",0.9894214571993168,6.72133239140631,9.96126018848574,2.16822933197454,1512,6,4,0.8717863787893567,15.449250679960128,12.593564846612209,10.080482192471896,2.259163822733035,92187,6,4
"[1, 0, 0, 1, 0, 1, 1, 0, 1, 1]",0.9892716035259922,6.40187230038136,10.0365572266535,2.17054941650361,83943,6,4,0.8675652717344998,15.996346111177555,11.910688759333548,10.20077592428554,2.181057013707516,27614,6,4
"[1, 0, 0, 1, 0, 1, 1, 1, 1, 0]",0.9639876649630196,6.44571964540801,10.0216523636889,2.17228131575919,29321,6,4,0.9186412127708858,16.243595417616273,13.30640294392632,10.158006486411482,2.177468772375673,27279,6,4
"[1, 0, 0, 1, 0, 1, 1, 1, 1, 1]",0.9915433680364024,7.66239654097947,10.0785580840144,2.24110809373279,16596,7,3,0.6755223535071565,14.637102723070896,7.092473701125986,10.174990021631949,2.097836300071514,36162,7,3
"[1, 0, 0, 1, 1, 0, 1, 1, 0, 1]",0.9899214663721766,6.82646371909842,10.1496632061008,2.03817878463126,53884,6,4,0.9218903875758468,16.720493493878966,12.93402130871613,10.085931602458604,2.282706407834396,23376,6,4
"[1, 0, 0, 1, 1, 0, 1, 1, 1, 1]",0.9548387563788675,7.44454731341686,9.93311224652541,2.13542635110061,53503,7,3,0.6835337873038094,14.870286250804892,7.116994544014149,10.331442465536943,2.2141547181154406,86947,7,3
"[1, 0, 0, 1, 1, 1, 0, 0, 1, 1]",0.9916157140121391,6.73104604516463,10.1784019923958,2.14179550348282,89632,6,4,0.8741791578113922,16.87941957836202,11.240364644147014,9.979533505258903,2.1899136042016343,23314,6,4
"[1, 0, 0, 1, 1, 1, 1, 0, 1, 0]",0.9965725981896837,6.56121444455878,10.0873843598276,2.24156405753551,42641,6,4,0.8839916152327624,16.550747840823522,11.884674409561054,10.006735739609352,2.133966314933852,74101,6,4
"[1, 0, 0, 1, 1, 1, 1, 0, 1, 1]",0.9472145039767125,7.54513970495407,10.1290355286038,2.25011512328612,56001,7,3,0.6490064003656579,14.604960426622409,6.271675414250737,9.933105958106784,2.1782954562830827,96441,7,3
