Genome,Ave_fit,Std_fit,Sum_fit,Ave_thr,Std_thr,Seed,Num_Learning,Num_Mating
"[1, 1, 0, 0, 0]",16.349842520602365,11.239880170138633,5.109962350463732,4.984915864906871,0.4364472015973762,2178,2,3
"[1, 1, 0, 0, 1]",9.257650253364911,7.217910939442454,2.039739313922457,5.00239052161876,0.43896882189352016,22720,3,2
"[1, 1, 0, 1, 0]",10.053103433729854,7.6497567843228635,2.4033466494069904,4.989834832945248,0.45662716804966186,2200,3,2
"[1, 1, 0, 1, 1]",4.222556608822808,4.243243594012298,-0.020686985189489526,4.99551199286911,0.4605465374405238,38944,4,1
"[1, 1, 1, 0, 0]",9.560337451827795,7.640297727281788,1.9200397245460072,4.971800044982886,0.44598316624951806,89221,3,2
"[1, 1, 1, 0, 1]",4.265455615839495,4.319283102950929,-0.053827487111433925,5.004168056557933,0.4646489654217858,98123,4,1
"[1, 1, 1, 1, 0]",4.461040732071374,4.335786061986558,0.12525467008481606,5.026148244031612,0.45614761093538264,14477,4,1
"[1, 1, 1, 1, 1]",0.0,0.0,0.0,4.979494322512068,0.44407854511115163,32724,5,0
"[1, 0, 0, 0, 0]",23.378124150150338,15.932856447993863,7.445267702156475,5.03436179857674,0.41305276396573226,11503,1,4
"[1, 0, 0, 0, 1]",17.00737249375065,11.689704571750044,5.317667922000608,4.984485598363473,0.4483915203717715,19365,2,3
"[1, 0, 0, 1, 0]",16.03361306464111,10.988304576236946,5.045308488404164,4.980039561424027,0.47012269637825777,74366,2,3
"[1, 0, 0, 1, 1]",8.890615009231398,7.059376657403837,1.8312383518275617,4.985997077043533,0.4324542283189037,98165,3,2
"[1, 0, 1, 0, 0]",15.42070187673434,10.697046018012937,4.723655858721402,4.992949919411263,0.45400879931883925,16841,2,3
"[1, 0, 1, 0, 1]",9.72997289099742,7.39364282021456,2.33633007078286,5.022667363393824,0.4366493293187812,13898,3,2
"[1, 0, 1, 1, 0]",9.16169338267317,7.563133056825755,1.598560325847414,5.003123732998522,0.4514257416161013,24860,3,2
"[1, 0, 1, 1, 1]",3.644677711705469,4.18427886088518,-0.539601149179711,4.972436185756282,0.46928082628575457,90769,4,1
